,0
57,. 휴메딕스와 휴온스메디컬의 항원키트 생산과 항원키트 생산 그리고 러시아와 이탈리아 등지에 항원키트를 수출한 것이 부진했던 에스테틱 매출을 만회할 수 있는 계기가 되었습니다
58,. 또 내수 매출이 부진했던 휴온스는 미국에 마스크 가운 소독액 등 코로나 관련 개인안전장비 사업을 신규로 시작한 게 주효하며 내수 매출 부진을 수출로 극복할 수 있었고요. 휴온스그룹 총수이며 휴온스글로벌 대표이사인 윤성태 부회장.은 최근 판교 제.테크노밸리 휴온스그룹 신사옥에서 경향신문과 가진 인터뷰에서 .신성장 동력을 지속적으로 발굴하려는 노력과 행운이 함께 잘 맞아 떨어져서 코로나. 대유행의 위기를 극복할 수 있었다
59,.면서 .새로운 비즈니스 모델을 창출하고 성장 동력 및 경쟁력을 확보하기 위해 오픈 이노베이션을 적극 추진할 것.이라고 밝혔다
60,. 휴온스그룹의 총수인 윤성태 휴온스글로벌 부회장이 새로 입주한 판교 신사옥에서 경향신문과 인터뷰하고 있다
61,. 박효순 기자 휴온스그룹 판교 신사옥은 지상 .층 지하 .층 연면적 .만. 규모다
62,. .개 건물동 중에서 .개 동만 사용하고 나머지 .개 동은 임대로 운영한다
63,. 신사옥이 있는 성남시 수정구는 .년 창업한 부친윤명용 선대 회장 .이 .년 도약의 기폭제인 생산기지를 건립한 곳이어서 윤 회장에게 더욱 의미를 더하고 있다
64,. 지주회사인 휴온스글로벌을 비롯해 휴온스 휴메딕스 휴온스메디컬 휴온스내츄럴 휴온스네이처 휴온스바이오파마 휴베나 등 관계사 임직원 .여 명이 입주해 근무하게 된다
65,. .자회사인 휴온스바이오파마의 미국 중국 등 잇따른 글로벌 비즈니스 행보가 관심을 모으고 있습니다
66,. .그간 중남미 동남아 중동 등 성장 잠재력이 큰 신흥 틈새 시장을 주로 공략했다
67,면 이제 보툴리눔 톡신 메이저 시장 진입을 본격화 하는 중입니다
68,. 금년 .월에는 미국의 아쿠아빗홀딩스와 .년간 .억원 규모의 라이선스 아웃 계약을 .월에는 중국 아이메이커로부터 중국 보툴리눔 톡신 사업 협력 강화를 위한 .억원의 대규모 투자유치에 성공했습니다
69,. 유럽에서는 독일 파트너사와 를 포함한 유럽 .개국 진출을 위한 계약을 타진하고 있고요. 에스테틱 품목 외에도 의약품 등에 대한 파이프라인이 있어 치료영역 시장이 큰 미국 등 북미 보툴리눔 톡신 시장에서 장기적으로 .휴톡스.와의 시너지를 증폭시킬 것으로 전망하고 있습니다
70,. .기술이나 아이디어가 기업 내외의 경계를 넘나들며 기업의 혁신으로 이어지도록 하는 경영 전략 즉 오픈 이노베이션에 적극적이신데요. .휴온스그룹은 글로벌 토탈 헬스케어 그룹을 지향합니다
71,. 휴온스글로벌 지주사를 비롯 휴온스 휴메딕스 휴온스블러썸 .개 회사가 상장되어 있고 비상장까지 하면 총 .개 자회사를 거느렸습니다
72,. 이러한 구조는 글로벌 토탈 헬스케어 범주에서 미래 시장성과 각 회사의 유기성 연관성을 고려해 만들어졌습니다
73,. 그 기조를 올해도 이어가 최근에는 회사의 중장기 미래 성장을 도모할 파트너를 발굴하고 바이오 헬스케어 분야의 벤처 생태계 조성에 기여하기 위해 바이오벤처 팬젠에 유상증자 참여 방식으로 .억원의 투자했습니다
74,. 이번 투자의 주체인 휴온스는 팬젠이 연구 개발하는 바이오의약품 파이프라인을 미래 포트폴리오로 확보하는 전략적 협업 토대를 구축했고 휴온스글로벌의 바이오 회사 휴온스랩과 팬젠이 체결한 .프롤리아. 바이오시밀러 기술 도입 파트너십에 대한 결속도 한층 강화됐다
75,고 봅니다
76,. .코로나. 백신스푸트니크 라이트 위탁생산 사업 추진은 잘 되고 있나요. 글로벌 공급 시기는 언제쯤으로 예상하십니까. .지난 .월 휴온스글로벌이 주축이 되어 러시아 국부펀드인 와 러시아에서 개발한 스푸트니크 백신을 국내에서 생산하는 기술이전계약을 체결한 바 있습니다
77,. 원액생산을 하는 프레스티지바이오파마는 오송에 백신 센터를 건립하고 있고 .급 세포배양기 .대를 우선 설치 중이고 나머지 세포배양기들을 올해말까지 설치할 예정입니다
78,. 설치가 완료되면 총 .억도즈의 백신을 생산할 수 있게 됩니다
79,. 바이알 충진과 완제품 포장을 맡고 있는 휴메딕스는 기계설치가 곧 완료될 예정이고 보란파마 역시 기계 발주를 완료하였으며 하반기까지 설치 완료될 것입니다
80,. 경기도 성남시 수정구 창업로 .번지에 건립된 휴온스그룹 신사옥 전경. 휴온스글로벌 제공 .러시아 기술진의 입국과 함께 기술이전에 더욱 속도가 붙을 것으로 예상됩니다
81,. .백신 기술이전 총 책임자인 드미트리 쿨리쉬와 기술진들이 입국했고 원액 생산부터 바이알 충전 완제품 포장 생산 라인까지 모두 점검을 마쳤습니다
82,. 기술진은 .달 가량 국내에 머물면서 백신 기술이전 작업을 마무리하고 하반기 본 생산까지 함께 준비합니다
83,. 컨소시엄과 협력 관계를 보다
84, 공고히 하기 위해 지난 .일에는 드미트리 기술 고문이 휴온스글로벌에 직접 방문했고 상호 신뢰를 바탕으로 팬데믹전염병 대유행 종식이라는 공동의 목표를 위해 백신 사업을 전개하는 만큼 컨소시엄의 모든 역량을 집중해 빠르고 안정적으로 백신을 공급하기로 약속했습니다
85,. .달 간의 기술이전 등이 완료되면 초도 생산량빠르면 .월은 월 .만 도즈를 예상하며 내년부터는 월 .억 도즈를 생산할 수 있는 설비를 갖추게 됩니다
86,. .단기적 장기적으로 중점 추진하는 사업과 목표는. .휴온스그룹의 궁극적인 목표는 토탈 헬스케어 그룹입니다
87,. 존슨앤존슨을 롤모델로 우리나라를 대표하는 세계적인 글로벌 헬스케어 그룹이 되고자 합니다
88,. 단기적으로는 건강기능식품에 힘을 실을 계획이고 장기적으로는 백신 등 바이오의약품 와 보툴리눔 톡신이 성장을 견인할 것으로 기대합니다
89,. 이에 더해 중기로 .년에 .개의 글로벌 생산기지 구축과 .개의 신약을 연구할 계획이며 장기로 .년에는 글로벌 제약기업 .톱.에 이름을 등재할 수 있도록 지속적인 성장을 이끌 계획입니다
90,. .휴온스가 작년 시장에 첫 선을 보인 국내 최초 여성 갱년기 유산균 .엘루비 메노락토 프로바이오틱스.이하 엘루비 메노락토가 히트를 치면서 갱년기 건기식 시장에서 돌풍을 일으키고 있습니다
91,. .단일 브랜드 단일 품목으로 .억원의 매출을 기록했고 이는 작년 휴온스 성장의 원동력입니다
92,. 유산균이라는 시장 트렌드와 중년 여성의 가장 큰 고민 중 하나인 갱년기 기능성을 결합 소비자의 니즈를 만족시켰기에 나온 결과라고 봅니다
93,. 이와 함께 독점 원료를 활용한 남성용 건강기능식품 출시도 계획 중에 있습니다
94,. 금년 .월 .남성 전립선 건강 유지 기능성.에 대해 식약처의 개별인정을 획득한 사군자추출분말이 주인공입니다
95,. 사군자추출분말이라는 천연물 신소재가 남성 건기식 시장에서 선택의 폭을 넓혀주고 인체적용시험으로 검증된 과학적 효과와 천연물 소재의 안전성을 강조해 남성 건기식 시장의 새로운 게임체인저가 되려고 합니다
96,. 윤성태 부회장이 회사의 미래를 그려보는 답변을 하며 환하게 웃고 있다
97,. 박효순 기자 .환경.사회.지배구조 경영이 중요한 사회적 화두로 떠오르고 있는데요. .기업 혼자 성장하는 시대는 지났습니다
98,. 지역사회는 물론 기업 구성원 협력사와 함께 동반성장하고 이를 위해 공정거래 기회를 부여하고 상호 공동 발전을 위한 활동을 이어가는데 힘쓰고 있습니다
99,. 아울러 구성원의 역량 성장을 위한 교육 지원 등 다
100,방면으로 노력이 필요합니다
101,. 환경 측면에서는 제조공정상의 환경오염 감소 및 친환경관리를 추구합니다
102,. 일례로 제품 포장재 변경을 빠르게 도입중이며 자연분해재질 포장재를 이용한 생산을 시행중에 있습니다
103,. 사회 측면에서는 휴온스그룹의 사회공헌 가치체계를 수립해 실행하고 있습니다
104,. 지배구조 측면은 경영 실천을 위해 위원회 조성과 상호 이익과 공동 발전 추구를 위한 노력도 지속해 나갈 계획입니다
105,. .혁신신약 파이프라인과 연구개발 투자 규모는 어느 정도입니까. .휴온스 기준으로 연 매출의 약 .를 에 투자하고 있고 투자 규모는 점차 늘려갈 계획입니다
106,. 현재 중점적으로 추진하는 파이프라인은 심장질환치료제와 간질환치료제로 혁신신약 으로 개발하는 것이 목표입니다
107,. 휴온스가 개발 중인 심장질환치료제는 심부전 환자 중에서도 입원 환자의 절반 정도에 해당하는 .심박출량 보존 심부전. 환자를 타깃으로 하는 약물입니다
108,. 휴온스는 올해 안에 동물 효력검증을 마치고 후보물질을 도출할 예정입니다
109,. 간질환으로는 .단백질 분해 플랫폼 기술.을 활용한 치료제를 개발하고 있습니다
110,. 이 기술은 세포 내에 존재하는 유비퀴틴프로테아좀 단백질 분해 기전을 이용해 질병을 야기하는 특정 단백질을 제거하는 혁신적인 플랫폼 기술입니다
111,. 기존의 신약 개발 방법으로는 접근할 수 없었던 난치성 질환 관련 단백질에 대한 표적치료가 가능할 뿐 아니라 기존 약물의 내성 문제도 극복할 수 있어 전 세계적으로 주목을 받고 있습니다
112,. .윤성태 부회장 주요 약력.년 충남 아산 출생 .년 한양대 산업공학과 졸업 .년 한양대 산업공학대학원 프로젝트 관리학 석사 .년 한국 입사 .년 광명약품공업휴온스 전신 입사 .년 광명약품공업 대표 .년 광명제약 설립재창업 .년 휴온스 사명 변경 .년 한국제약바이오협회 부이사장 .년 휴온스글로벌 대표이사 부회장 .년 성남상공회의소 부회장 .년 한국중견기업연합회 수석부회장다
113,대구 남구의 캠프워커 반환부지에 대한 토양오염 정화 용역이 다
114,음달부터 실시된다
115,. 국방부는 대구 캠프워크 반환부지에 대한 토양오염 정화용역을 .월 초부터 실시한다
116,. 대구시 제공. 대구시는 지난해 .월 미군으로부터 반환받은 남구 캠프워크 반환부지에 대해 국방부의 토양오염 정화용역 개찰이 지난 .일 조달청 나라장터에서 시행됐다
117,고 .일 밝혔다
118,. 국방부의 위탁시행업체인 한국환경공단이 반환부지에 대한 정화용역을 맡는다
119,. 이번에 반환되는 캠프워크 부지는 미군 헬기장과 동편 활주로 등 .만.에 이른다
120,. 국방부와 한국환경공단은 용역업체에 대한 적격 심사를 거쳐 다
121,음달 초부터 용역에 들어갈 예정이다
122,. 용역 대상은 캠프워커 반환 부지와 주변 지역이 포함된다
123,. 국방부는 기존 환경오염조사 자료를 재검토하고 정화작업을 위한 추가 정밀조사와 실시설계를 거쳐 본격적인 정화작업을 펼친다
124,. 이 과정에 지역 시민단체와 환경분야 전문가 등으로 구성된 환경자문단.명이 용역방법과 절차 등에 대한 의견을 개진한다
125,. 대구시는 또 주민설명회를 통해 군부대 지장물 철거를 비롯해 선정된 정화 공법 오염 확산 방지대책 안전관리 및 사후 모니터링 계획 등 정화 작업 전반을 공개할 방침이다
126,. 김충한 대구시 미래공간개발본부장은 .반환되는 미군 헬기장 부지에 대한 정화사업이 엄격하게 추진될 수 있도록 관련분야 전문가와 시민단체 지역 주민 등과도 적극적으로 소통하겠다
127,.고 밝혔다
128,.다
129,대전열병합발전 전경. 대전열병합발전 인터넷홈 페이지 캡처 대전 대덕산업단지 안에서 가동 중인 대전열병합발전의 대규모 증설 계획과 관련 환경.시민단체.주민 등이 열병합발전 시설의 증설을 불허할 것을 정부에 요구했다
130,. 대전충남녹색연합 대전열병합증설반대 관평동주민자치위원회 비상대책위원회 대전열병합증설반대 신탄진 주민모임 정의당 대전시당 유성구위원회 등은 .일 오전 기자회견을 열고 .대전열병합발전이 증설될 경우 온실가스 먼지 질산화물 등 대기오염물질이 .배 증가할 것.이라면서 증설 계획에 대한 허가를 내주지 말 것을 산업통상자원부에 요구했다
131,. 대전열병합발전은 최근 산업부에 집단에너지사업 변경계획서를 제출한 바 있다
132,. 기존 .급 증기터빈발전에서 .급 대규모 가스복합화력발전으로 증설하는 것이 주요 내용이다
133,. 노후시설을 교체하고 기존의 벙커유 중심에서 액화천연가스 등으로 연료를 바꿔 환경오염을 줄인다
134,는 명분을 내세우고 있다
135,. 환경단체 등은 연료를 기존 벙커유에서 또는 로 바꾼다
136,해도 용량이 .배 이상 늘어나게 되면 오히려 오염원 배출이 늘어 대기환경을 악화시킬 것이라고 주장하고 있다
137,. 대전충남녹색연합 관계자는 .액화천연가스도 온실가스와 대기오염물질을 배출하는 화석연료.라면서 .석탄화력발전소와 비교하면 대기오염물질은 .분의 . 초미세먼지는 .분의 . 정도를 각각 배출하고 질산화물은 비슷하게 배출한다
138,.면서 .급 대규모 발전시설이 도심 한가운데로 들어온다
139,면 시민들의 피해는 커질 수밖에 없다
140,.고 밝혔다
141,. 이들 단체는 .대전역병합발전 측은 주민들이 거세게 반발하고 있는데도 불구하고 주민 의견 수렴도 제대로 하지 않았다
142,.면서 .산자부는 대전열병합발전서의 증설을 허가하지 말 것.고 촉구했다
143,.다
144,오지 깊은 자연의 또 다
145,른 말.경북 영양군 용화광산 선광장은 고대도시 흔적 같다
146,. 일제 강점기 수탈 현장이다
147,. 현대 들어 환경오염이 벌어졌다
148,. 당시 영풍광업도 지금 영풍그룹도 오염 문제에 책임 지지 않았다
149,. 영양군이 .년 전 오염원을 매립해 야생화 공원으로 만들었다
150,. 등록문화재인 .용화광산 선광장.일월산서 캐온 광석의 광물 걸러내.년 폐광 뒤 .년간 방치된 땅영양군 오염원 매립.야생화 심어 고대 마야 도시 칼라크물의 건축물 같다
151,. 오랜 시간 풍화한 콘크리트가 흙빛을 냈다
152,. .층의 계단식 사다
153,리꼴 모양의 콘크리트 구조물은 .도 경사 산자락에 파묻히듯 들어가 산의 일부가 된 듯하다
154,. 용화광산 선광장.이다
155,. 일제강점기인 .년 경북 영양군 용화리 대티골 동쪽에 지었다
156,. 일월산에서 캐낸 광석을 이곳으로 옮겼다
157,. 금 은 동 아연 등 돈 되는 광물을 걸러냈다
158,. 동아일보 .년 .월.일자를 보면 .유례 드문 세계적 아연 보고.라는 표현이 나온다
159,. 일제 수탈 현장이다
160,. 정부는 .년 .광업 발달사를 보여주는 문화유산 가치가 높다
161,.며 등록문화재제.호로 지정했다
162,. 이 거대 건축물 주변엔 .개의 안내판이 들어섰다
163,. 각각의 내용은 한국 근현대사에 대한 복잡다
164,단한 해석을 드러낸다
165,. .지역사회와 국가산업 발전. .인근에 주민 .여명이 살았고 .년 전기도 공급된 곳. .년부터 외국인들이 한국 광산 자원을 수탈.이라는 문구가 .개 안내판에 따로 적혔다
166,. .일월 용화광산의 유래.라는 제목의 안내판엔 익숙한 기업명 하나가 보인다
167,. .년 영풍광업주 인수 광업권자 최기호 탐광 착수. 건축하고 .년 세월이 흘렀다
168,. 풍화 때문일까. 용화광산 선광장 콘크리트는 흙빛을 낸다
169,. 최기호는 영풍그룹 공동 창업자다
170,. .년 장병희와 함께 만들었다
171,. .년 영풍광업은 용화광산에서 광석을 생산한다
172,. .년 탐광을 종결했다
173,. 나무에 가려진 또 다
174,른 안내판엔 .년 폐광 후 제련 과정에서 사용한 비소 등 화학성 독성물질로 오염된 광미와 폐광석 등에 의한 토양오염으로 풀 한 포기 자랄 수 없는 땅이 되었으며 오염된 침출수가 하천으로 흘러들어 계곡에는 물고기 한 마리 살 수 없는 채로 .년간 방치.됐다
175,는 글이 적혔다
176,. .년 .월 당시 한국환경기술개발원이 낸 .휴.폐광된 금속광산 지역의 오염 관리대책.을 보면 용화광산 주변 토양의 중금속은 비오염 지역보다
177, 비소가 .배. 높게 나타났다
178,. 광산 지역에서 . 떨어진 곳에서도 비소가 .배. 높았다
179,. 안내판에 .영풍.이란 이름에 주목한 건 이 기업의 석포제련소 환경오염 문제 때문이다
180,. 영풍광업은 .년 영양군 옆 봉화군 석포면 산골짜기에 이 제련소를 만들었다
181,. .년에야 일대 환경오염 문제가 알려졌다
182,. 영양군 용화광산에선 영풍이란 기업의 책임은 묻혔다
183,. 언론 보도에도 문헌에도 잘 나오지 않는다
184,. 영풍과 용화광산의 관계는 저 안내판 연혁에서만 찾을 수 있다
185,. 용화광산 선광장 앞이 .일월 자생화공원.이다
186,. 영양군은 .년부터 오염원을 매립하고 야생화를 심었다
187,. 영양군 관계자는 .당시 영풍이 오염 피해 보상이나 자연복원 지원을 한 기록이 없다
188,.고 말했다
189,. 한때 흉물이자 환경오염 근원지가 자연복원 가치를 드러내는 상징 장소로 탈바꿈했다
190,. 영양군은 보존한 선광장 꼭대기에 전망대도 만들었다
191,. 전망대 맞은편이 일월산이다
192,. 동학농민군이 여기 숨어들었다
193,. 한말 의병장 신돌석의 주무대가 일월산이다
194,. 이 일대는 빨치산의 최후 거점 중 한 곳이기도 했다
195,. 은닉하거나 게릴라전을 펼치기 좋았던 건 일월산을 포함한 영양군 일대가 오지였기 때문이다
196,. 오지는 .낙후.란 단어가 연상되면서 어감이 좋지 않지만 .해안이나 도시에서 멀리 떨어진 내륙의 깊숙한 땅.이란 뜻일 뿐이다
197,. 오지의 지표 하나가 .응급의료 전용헬기 착륙장. 도로안내 표지판이다
198,. 영양군 도로를 오가면 이 표지판이 하나씩 나타난다
199,. 큰 병원이 주변에 없다
200,. 도로는 주로 .차선이나 .차선이다
201,. .년 .월 기준 영양군 인구는 .만.명 전국 .개 시.군.구 중 영양군보다
202, 인구가 적은 데는 울릉군.명 하나다
203,. 사람이 적으니 오염원도 적다
204,. 오지는 청정 자연 공간의 다
205,른 이름이다
206,. 경상도의 .봉화.영양.청송는 전라도의 .무진장.무주.진안.장수 강원도의 .영평정.영월.평창.정선과 함께 청정 지역을 대표하는 이름이 되어간다
207,. 와 영평정의 영월은 외씨버선길로도 이어진다
208,. 청정 공간을 그저 이룬 것은 아니다
209,. 수몰 예정지 주민들이 .년 동안 반대 운동을 벌이며 영양댐 건설을 막아냈다
210,. .물 수요에 따라 댐을 건설하려 했다
211,기보다
212, 댐 건설 자체를 정해놓고 물 쓸 곳을 찾는다
213,.는 비판을 받았다
214,. 주민들은 .군민을 물속에 넣으면서까지 정치를 해야만 하나요.라고 적은 현수막을 내걸기도 했다
215,. 정부는 .년 댐 건설을 백지화했다
216,. 수몰 위기에 빠질 뻔한 게 검마산과 백암산에서 발원해 죽파리와 기산리 대산골 송하리를 거쳐 낙동강으로 흐르는 장파천이다
217,. 영양 하면 수하계곡이 유명한데 장파천의 수려함도 못지않다
218,. 죽파리 쪽 장파천은 .영양 자작도.라 불리는 . 규모의 자작나무 숲죽파리 산.으로 이어진다
219,. 영양 자작나무 숲 곁으론 계곡이 흐른다
220,. 숲길은 평탄하다
221,. 영양 자작나무 숲. . 면적에 .년된 나무들이 들어섰다
222,. 맞은편 일월산은 게릴라전 적소휴대폰 신호 못 잡는 자작나무 숲그 숲길 따라 흐르는 .죽파계곡.순수.의 정서 느낄 청정 자연 공간 자작나무와 자작나무 숲. 코로나. 사태 이전까지 사회관계망서비스를 달군 열쇳말 중 하나다
223,. .산림관광지로서 인제 자작나무 숲에 대한 소셜미디어 이용자 인식 연구.를 보면 자작나무 숲 방문객은 늘어난다
224,. .아름답다
225,. .좋다
226,. .가다
227,. .보다
228,. .사진. 같은 단어 출현 빈도가 높다
229,. 자작나무만 분류하면 .스피커. .인테리어. 같은 단어도 뜬다
230,. 천마총 천마도의 캔버스가 자작나무다
231,. 기름 성분이 많다
232,. .화촉.이 자작나무 껍질로 만든 초다
233,. 숲은 또 어떤가. 자작나무 숲은 여러 정서를 일으킨다
234,. 사람들은 흰백색의 자작나무 껍질에서 .순수.의 정서를 느낀다
235,. 수십 곧게 뻗은 몸통에서 .지조.를 읽어내기도 한다
236,. 이른바 .핫 플레이스.로 뜬 곳은 인제 원대리 자작나무 숲이다
237,. 영양과 인제 두 곳의 자작나무 숲을 다
238,녀온 이는 .영양 자작나무 숲길은 평탄하다
239,. 숲길 따라 계곡도 흐른다
240,.고 말했다
241,. 영양의 장점으로 꼽은 것들이다
242,. 영양 자작나무 숲 자작나무. 흰색 나무껍질에서 .순수함.을 느끼곤 한다
243,. 기름기가 많고 질겨 초나 캔버스로도 쓰였다
244,. 영양 자작나무 숲엔 스마트폰 신호가 잡히지 않는다
245,. 차에서 내려 한참을 걸어가야 한다
246,. 불편함을 기꺼이 감당하거나 걷기를 즐기려는 이들에겐 적격의 장소다
247,. 군은 취사나 야영 물고기잡이는 금지했는데 탁족.은 가능하다
248,. 장파천은 장수포천과 수하계곡 물길로 연결된다
249,. 수하계곡 쪽에 들어선 게 수비면 수하리 영양 반딧불이천문대다
250,. 지난 .일 영양군 초청 투어 마지막 일정으로 이곳을 찾았다
251,. 천문대 구호는 .불을 끄고 별을 켜다
252,.이다
253,. 인공조명을 찾기 힘들다
254,. 몇 안 되는 가로등은 조도가 낮다
255,. 수비면은 한국에서 가장 밤하늘이 어둡다
256,고 한다
257,. 이 일대는 아시아 최초로 국제밤하늘보호공원으로 지정됐다
258,. 천문대는 고가의 천체 망원경을 둔 곳인데 천문대 박찬 주무관은 .드러누워 밤하늘을 보는 게 제일 좋다
259,.고 말한다
260,. 그는 .낮은 밝고 밤은 어두운 게 자연스럽다
261,.고 말했다
262,. 용화광산 오염원 복원과 영양댐 저지와 이어지는 말 같았다
263,. 영양군엔 숙박시설이 많지 않다
264,. 영양 생태공원사업소.에서 반딧불이천문대 부근 캠핑장 수련원.펜션을 예약할 수 있다
265,. 반딧불이천문대 체험 예약도 이곳에서 가능하다
266,. 죽변등대공원 전망대에서 바라본 하트해변과 스카이레일. 모노레일을 타고 그 안에서 보는 바다
267, 풍경은 좋다
268,. 모노레일이 해안선 풍경을 해친다
269,는 지적도 나온다
270,. 경북 울진군 죽변리등대길 하트해변 따라 늘어선 .스카이레일.주변 소공원엔 자생 대나무 가득 울진 죽변등대공원 맞은편 소공원에서 본 죽변항 일대. 죽변이란 이름처럼 대나무가 많다
271,. 울진 죽변 국립 해양과학관 명소 중 하나는 해중전망대이다
272,. 지금 문을 닫았다
273,. 방역 대책을 마련하고 다
274,시 문을 연다
275,. 대신 해중전망대로 가는 다
276,리는 열려 있다
277,. 과학관 관람은 온라인 사전 예약해야 한다
278,.다
