언론사,제목,내용
문화일보,월령별 성장단계 맞춤형 ‘배달 이유식’ 영양소 파괴 최소화·신선도 유지 강점,"
상품명 : 베이비밀 
구독방법 : 매일·격일,1주·2주·4주 등 
특징 : 아이 성장 시기에 맞춘 식단 관리

영양 균형을 고려하면서도 매 끼니 다른 레시피의 이유식을 만드는 것은 생각보다 많은 시간과 노력이 필요하다. 풀무원 베이비밀은 바른먹거리 원칙을 실현하고 있는 풀무원 정신을 그대로 이어받은 이유식 전문 브랜드로, 초기부터 완료기 이유식까지 제공한다는 점에서 좋은 반응을 이끌어내고 있다.

베이비밀은 2010년 론칭한 브랜드다. 당시 물에 타 먹이는 파우더 형태가 주를 이루고 있는 이유식 시장에서 완전조리된 상태로 냉장 배송하는 이유식을 선보였다. 

이유식의 모든 메뉴는 풀무원 식문화연구원이 개발하고 이연숙 전 서울대 식품영양학과 교수의 감수를 거쳤다. 또한 매일 하루 분량씩 배송하는 방식을 채택해 집에서 만든 것과 같은 이유식을 배송, 소비자 만족도를 높였다.

베이비밀은 전문 임상영양사가 생후 만 4개월부터 13개월 이후까지 아이의 월령별 성장단계에 맞는 이유식을 세분화해 설계했다. 미각 학습을 시작하는 시기부터 구강 및 소화기관 능력을 향상시키는 시기가 될 때까지 과학적으로 설계한 ‘월령별 맞춤 식단’으로 영양 균형이 잡힌 식사를 제공한다. 또 집중 관리하는 요소에 따라 미각, 튼튼, 장건강, 스텝업 4가지로 식단을 구분해 체계적인 관리가 이뤄지도록 했다. 먹거리 제조에도 엄격한 기준을 적용하고 있다. 건강한 땅에서 자란 유기농 곡류(쌀, 찹쌀, 현미, 흑미), 무항생제 한우와 유정란만을 사용한다. 또 아이가 한 번에 먹을 분량을 개별 그릇에 미리 담아 스팀으로 가열·살균하는 ‘CLL(Chilled Long Life) 시스템’을 도입해 영양소 파괴를 최소화하고 원재료의 식감을 살렸다. 신선도 유지를 위해 콜드체인 시스템을 구축해 10도의 서늘한 온도로 배송해준다.


이유식은 풀무원 베이비밀 공식 웹사이트에서 주문할 수 있다. 지역에 따라 매일/격일/택배배송으로 나뉘기 때문에 우선 배달 가능 지역을 확인한 후 첫 배송일과 배송 패턴을 선택하면 된다. 베이비밀을 1회만 체험해보고 싶은 경우 1회 맞춤 배달로 선택하면 되고, 지속적으로 구독하고 싶은 경우 매일(1주/2주/4주) 혹은 격일(2주/4주) 총 5가지 방법으로 일일 정기 배달을 택하면 된다. 가격은 1입 기준으로 4000원대의 미음식부터 1만 원대의 진밥 이유식까지 다양하다. 베이비밀 관계자는 “맞벌이 부부가 증가함에 따라 간편하고 편리한 배달 이유식을 찾는 부모가 늘고 있다”며 “이유식 외에도 만 14개월부터 36개월까지 먹을 수 있는 간식, 반찬 등으로 카테고리를 확장하고, 일일 신선 배송 외에 주 단위 배송도 도입하는 등 다양한 서비스를 제공할 계획”이라고 말했다.

김온유 기자 kimonu@munhwa.com
"
문화일보,지구촌 ‘슬로푸드’ 열풍… 108개국 확산,"
				  전세계적으로 ‘바른 먹거리 조기 교육’이 급속히 확산되고 있다. 바른 먹을거리를 식별할 수 있는 아이들을 길러내지 않으면 국가적으로 건강에 엄청난 비용을 감당할 수밖에 없다는 위기의식 때문인 것으로 전문가들은 보고 있다. 

국가 전체 인구(15세 이상) 중 비만인구 비중이 30% 이상인 미국. 한 해 국가 전체가 비만과 관련해 지출하는 사회비용은 120조원에 달한다. 영부인인 미셸 오바마는 ‘함께 움직입시다’는 어린이 비만 퇴치 캠페인을 앞장서 벌일 정도. 오바마 부부는 2009년부터 백악관 남쪽 정원에 3636㎡ 상당의 텃발을 만들어 친환경 채소를 재배한다.

미국은 일찌감치 1990년 영양성분표시교육법을 제정하면서 먹을거리 교육을 실시해 왔다. 지난해 초·중·고생 94%가 먹을거리 교육을 받았다. 또 식생활지침을 만들어 1981년부터 만들어 5년마다 발표하고 있다.  미국 햄버거 기업 맥도날드의 진출에 반기를 들고 시작된 슬로푸드(slow food·천천히 시간을 들여 만든 음식)운동의 출발지 이탈리아. 1986년 이탈리아 북부 도시 브라를 시작으로 현재는 108개국으로 확산되고 있다.

달팽이가 상징인 이 운동이 중시하는 것은 바로 학교 교육. 이탈리아는 1998년부터 초등학교에 미각교육을 의무화하고, 슬로푸드 이탈리아 본부를 미각교육 담당 기관으로 공식 승인했다. 이 교육의 핵심은 채소나 과일을 기르는 학교정원과 매주 목요일마다 정규수업으로 진행하는 먹을거리 수업. 이를 통해 이탈리아 어린이들은 자연스럽게 제철 야채와 과일을 접하고, 성장과정을 지켜보면서 자연의 소중함을 배운다. 직장인들도 인근 학교의 식당을 찾을 정도로 슬로푸드의 보루인 학교급식은 인기가 높다.

이웃나라인 일본. 2001년 광우병이 발생하고 O-157 식중독 사건을 겪으면서 사회적으로 먹을거리의 중요성에 대해 심각한 고민에 빠졌었다. 그 후 2005년 ‘식육(食育)기본법’을 제정, 학교와 가정, 지역사회에 체계적인 식생활 교육을 전개하고 있다. 기존 교육 3대 목표인 지(知)와 덕(德), 체(體)에 식(食)을 추가함으로써 식교육의 중요성을 강조한 것이다. 식육기본법을 추진하는 식육추진회의는 내각 총리가 의장을 맡아 힘을 실어준다. 


천재 요리사 제이미 올리버의 급식혁명으로 더욱 유명해진 영국. 그가 감자튀김·햄버거 등으로 채워진 학교급식에 문제를 제기하면서, 급기야 영국 정부는 2006년 학교급식 개선을 위해 3년간 약 4894억원의 예산을 추가 투입했다.

국내도 뒤늦었으나 서울시와 풀무원, 녹색소비자연대 등이 ‘바른먹거리 확인 캠페인’ 일환으로 초등학교 교실을 찾아가 식생활 교육을 실시하는 ‘바른 먹거리 교실’을 지난 4월부터 운영하기 시작해 앞으로 국내에도 먹을거리 조기교육이 본격 확산될지 주목된다.

 이관범기자 frog72@munhwa.com
"
문화일보,"소비자편에 선 경영, 인정받았어요…풀무원식품-애경산업, CCM 인증","
				  풀무원식품과 애경산업은 19일 서울 중구 대한상공회의소 국제회의장에서 열린 ‘2015년 상반기 소비자중심경영(CCM) 인증서 수여식 및 우수사례 발표회’에서 CCM 인증을 받았다고 밝혔다. CCM은 제품개발, 서비스, 마케팅 등 기업이 수행하는 모든 경영활동을 소비자 중심으로 구성하고 이와 관련된 경영활동을 지속해서 개선하는지를 평가해 인증하는 제도이다. 공정거래위원회가 인증하고 한국소비자원이 운영한다.
　풀무원식품은 지난 2007년 종합식품기업으로는 최초로 CCM 인증을 받은 후 올해도 CCM 재인증을 받아 식품 업계에서 처음 5회 연속 CCM 인증을 획득한 기업이 됐다.
　박종현 풀무원식품 CCM 사무국장은 “기업 운영 전반에 걸쳐 소비자의 목소리에 귀를 기울이는 다양한 전사적 활동을 통해 5회 연속 CCM 인증이라는 성과를 얻었다”고 말했다.
　풀무원식품은 제품 기획에서부터 생산, 유통 전반에 이르기까지 소비자를 최우선으로 삼는 경영활동을 목표로 VOC(Voice of Customer)를 분석해 개선 및 피드백 등의 활동을 적극적으로 이행하는 한편, ‘바른 먹거리 스쿨’, ‘건강한 밥상 바른 인성 캠페인’, ‘바른 먹거리 식품표시 교육’ 등의 고객 소통 프로그램을 실천해 고객 신뢰 확보 활동에서도 좋은 평가를 받았다.
　풀무원은 풀무원식품㈜ 이외에도 지난해 풀무원건강생활㈜, ㈜푸드머스, ㈜올가홀푸드가 인증을 획득했으며, 2012년에는 ㈜이씨엠디가 단체급식업계 최초로 인증을 받는 등 국내 최초로 전 계열사가 CCM 인증을 획득하는 성과를 거뒀다.
　애경산업은 CCM 운영사무국을 신설하고 소비자 효용 증대를 위한 스마트녹색 경영 실천, 고객 의견을 반영한 제품 개선 및 개발, 사랑과 존경의 나눔경영을 통해 소비자에게 실질적인 혜택을 부여하기 위한 다양한 노력을 펼쳐온 노력을 인정받았다고 설명했다.
　애경 관계자는 “이번 CCM 인증을 통해 전사적으로 소비자 지향적 경영문화를 확산하고 소비자 중심의 전사적 통합 시스템을 재정비할 수 있는 계기가 됐다”면서 “최고의 품질과 서비스로 소비자의 삶의 가치를 높일 수 있도록 하겠다”고 말했다. 

이민종 기자 horizon@
"
문화일보,“현명한 소비자가 결국 식품산업 키워”,"
				  “현명한 소비자를 만드는 게 식품산업의 나아갈 길입니다.”

이효율(54) 풀무원식품 사장은 31일 서울 강남구 수서동 본사에서 이뤄진 문화일보와의 인터뷰에서 “손바닥 크기의 포장지에 식품의 모든 정보를 담기 위해 노력해야 하는 게 식품기업의 사회적 책무”라며 이같이 말했다. 그는 “그 정보를 제대로 독해할 수 있는 현명한 소비자가 늘어날수록 시중에 판매되는 제품의 옥석도 가려져 식품산업의 도약에 보탬이 될 것”이라고 강조했다.

이 사장은 “해외처럼 식품교육을 초등학교 정규 교육과정으로 삼아 미래를 짊어질 아이들을 바른 먹거리를 고를 수 있는 현명한 소비자로 키우는 노력이 결국은 건강한 국가로 가는 지름길이 될 것”이라고 말했다. 

그는 자사 생라면 포장지의 전면 상단 오른쪽을 손가락으로 가리켰다. 눈에 잘 띄는 하얀 박스 안에 제조일자와 유통기한이 적혀 있었다. 하단에는 과다섭취 주의대상인 칼로리와 지방, 트랜스지방, 나트륨, 당분 등 5대 영양소의 일일 권장 기준치 대비 함유량이 적혀 있었다. 

이 같은 시도는 재고 문제를 우려해 신선도의 지표인 제조일자 표기를 꺼리거나, 식품성분을 뒷면에 표시하는 식품업계 전반의 분위기와는 완전히 다른 것이다.

풀무원식품이 이처럼 파격적으로 포장지를 꾸미기 시작한 것은 주요 재료와 영양성분, 첨가물 등만을 표시토록 하는 현행 법규제를 뛰어넘어 성분과 관련된 모든 정보를 공개하는 ‘완전 표시’를 수년 전부터 지향해 왔기 때문.

실제로 이 사장이 꺼내 든 생라면 포장지 전면에는 과다섭취 주의대상인 나트륨의 하루 권장량 대비 함유량이 무려 93%나 된다고 적혀 있었다. 

그는 “어느 라면이나 나트륨 함유량을 줄이면 맛이 떨어질 수밖에 없다”며 “대신 우리는 포장지 뒷면에 국물의 절반만 마시면 나트륨 섭취량을 얼마까지 줄일 수 있는지 정보를 제공하게 됐다”고 말했다.

이 사장은 두툼한 연습장 한 권을 펼쳐 보였다. 깨알 같은 글씨가 빼곡한 종이 위로 성분표시 개선방안에 대한 고민과 아이디어가 꼼꼼하게 적혀 있었다. 협소한 포장지에 모든 정보를 담는 게 현실적으로 불가능하다 보니 자연스럽게 홈페이지와 연계해 제품 포장지의 코드번호만 입력하면 생산이력까지 확인할 수 있는 정보를 제공하게 된 것도 그 같은 고민의 결과다.

그는 “구매를 앞두고 ‘진실의 순간’에 선 소비자에게 식품에 관한 완전 정보를 제공하고, 이를 더 쉽게 이해할 수 있도록 돕는 방안을 매일 고민하게 됐다”며 “쓰다 보면 한 달에 연습장 한 권이 모자랄 정도”라고 말했다.

이 사장은 지난해부터 ‘바른먹거리 확인 교육’ 캠페인을 시작하면서 식품 정보에 대한 소비자의 갈증을 절감했다고 했다. 그는 “우리가 소화하는 게 벅찰 만큼 교육 신청자 수가 늘어났다”며 “이렇게 반응이 뜨거울 줄 몰랐다”고 말했다.

이 사장은 이어 “예전에는 농약 사용 유무를 따졌지만 이제는 식품성분에 대한 제반 정보를 알고 싶어 한다”며 “국내에도 이제 식생활 교육법 제정 얘기가 나오기 시작한 만큼 사회 전반의 관심이 높아지고 있다”고 덧붙였다. 

이관범기자 frog72@munhwa.com
"
문화일보,“실제 도움되는 식생활 교육해야”,"
				  “현재 국내 식생활 교육은 초등학교 과정에서 영양소에 대해서만 일부 다루고 있어요. 정부에서 국민 건강을 위해 교육에 대한 적극적인 의지와 노력을 보여줘야 합니다” 

조윤미(여·46·사진) 녹색소비자연대 사무처장은 31일 문화일보와의 인터뷰에서 국내의 취약한 식생활 교육 현실에 대해 이같이 지적했다. 조 처장은 “식품을 구매하기 시작하는 어릴 때부터 체계적인 교육을 받고 정보를 습득해야만 성인으로 자라서도 올바른 식품선택이 가능해진다”며 자신이 실무를 총괄하고 있는‘바른먹거리교육’의 취지를 설명했다. 

“바른먹거리교육은 지난 2007년 첫 발을 뗐어요. 소비자단체들이 초등학생과 학부모들에게 식품표시에 대한 정보를 상세히 알려주는 소비자 교육의 필요성을 서울시에 제안했고, 시가 이를 받아들여 사업비 일부를 지원했지요. 이를 통해 이마트 등 대형 유통매장에서 월 1회씩 ‘식품정보알기’에 대한 캠페인을 펼쳤습니다. 교육을 신청한 초등학생들과 학부모들에게 각각 10번씩 식생활에 대한 교육을 했습니다. 풀무원의 경우 이 사업의 공익성을 높이 평가해 지난해 말부터 본격 참여하기도 했습니다.”

조 처장은 교육을 진행한 결과, 1회성에 머물러서는 의미를 찾을 수 없다고 판단해 교육대상을 서울 시내 25개 초등학교로 확대하고 총 4회 교육을 실시하도록 했다. 그는 “식생활교육에 대한 인프라가 부족하기 때문에 정부에서 식품교육을 어릴 적부터 체계적으로 받을 수 있도록 제도적인 지원에 더 신경을 써야 한다”고 강조했다. 

노기섭 기자 mac4g@munhwa.com
"
문화일보,“먹거리 교육에 책임감 가진 어른들 인상적”,"
				  “시민들이 아이들의 먹을거리 교육에 강한 책임감을 보여주는 게 인상적이었습니다.”

김민순 풀무원 마케팅팀장은 27일 문화일보와의 인터뷰에서 지난해 11월 미국, 영국 등의 ‘바른먹거리 조기교육’ 현장을 직접 둘러보면서 가장 인상 깊었던 체험담을 소개했다.

하루는 오후 2시 무렵 한 초등학교 교실에 미국 로스앤젤레스 지역에서 활동하는 비영리단체(NGO) ‘그로잉 그레이트(Growing Great·먹을거리교육전담기관)’ 소속 자원봉사자 3명이 모였다. 알고 보니 이들은 모두 직장인이나 교사 등이었다는 것. 아이들에게 먹을거리의 중요성을 알려주기 위해 휴가를 내고 달려나온 것이다.

그로잉 그레이트는 인근 유치원부터 초등학교까지 모두 25개 학교에서 먹을거리 학습을 지원한다. 주로 텃밭을 함께 기르거나 균형 잡힌 영향 섭취나 식품성분 표시 읽는 법 등을 집중해서 가르친다. 미국만 해도 이런 단체가 수백 군데가 넘는다는 것이 김 팀장의 설명이다.

영국의 경험도 인상 깊었다고 한다. 그는 “식품 성분의 안전 여부를 신호등 푯말을 보여주면서 재밌게 수업을 진행하고 있었다”며 “자못 심각할 수도 있는 내용인데도 아이들에게 알기 쉽게, 재밌게 전달하려는 노력은 우리도 앞으로 배워야 할 부분”이라고 말했다.

이관범기자 frog72@munhwa.com
"
문화일보,"4년새 95% 급성장… 시장규모 3조원… 가정간편식, 침체된 유통업 새 먹거리","
이마트24, 프리미엄 제품 확대
GS, 숙성 회 배송 서비스 돌입

편의점인 이마트 24는 13일부터 프리미엄 간편식 ‘올가니카 클린푸드’ 판매를 전 점포로 확대했다. 독신자나 오피스 생활자의 경우 도시락·샌드위치· 샐러드 등의 구매를 선호하는 데 착안한 것이다. 편의점은 지난해 체인 슈퍼, 독립슈퍼를 제치고 할인점에 이어 즉석조리식품 주요 유통채널 2위로 올라섰다.

GS리테일의 온라인 쇼핑몰 GS프레시는 숙성 회 배송 서비스에 착수했다. 한 사람이 먹을 수 있게 맞춤 구성한 회를 금요일 편한 시간대에 집으로 배달해 준다. 

4년 새 95% 이상 성장하면서 올해 3조 원 돌파가 유력해 보이는 가정간편식(HMR) 시장이 식품·유통·외식·식자재 업체 등의 성장동력으로 떠오르고 있다. 

14일 관련 업계에 따르면 각종 규제와 내수 부진으로 성장 한계에 봉착한 유통·소비재 분야에서 즉석섭취, 즉석조리, 신선 편의식품 등 HMR만큼은 지속적인 성장세를 보여 주목받고 있다. 520만 명을 돌파한 1인 가구, 맞벌이 가구의 증가, 분주한 라이프스타일의 변화와 함께 레토르트 기술과 콜드체인망 구축 등 제조기술이 높아진 점이 HMR 보급을 촉진하는 배경으로 풀이된다. 

동원F&B의 ‘바른어묵’ 5종은 복잡하고 어려운 어묵 요리를 간편하게 구성한 것으로 전, 어묵볶음, 어묵탕 등을 1분만 데우거나 소스를 넣어 함께 끓이기만 하면 즐길 수 있다. 풀무원은 신선한 원물, 육수를 넣어 신개념 편의식을 표방한 프레쉬 키트(Fresh Kit) 라인업을 보강했다. CJ제일제당은 올해만 3억 개의 햇반을 판매했다. 1~2인 가구가 늘기 시작한 2011년 이후 판매량이 연평균 20%씩 늘었다. CJ제일제당 관계자는 “최근엔 ‘신혼부부들이 밥솥 대신 햇반을 산다’라는 말이 나올 정도”라고 했다.

업계 관계자는 “대기업부터 스타트업 기업까지 혼밥, 혼술, 집밥 선호 현상에 맞춰 시장 다각화에 집중하고 있다”고 말했다. 

이민종 기자 horizon@munhwa.com
"
문화일보,“아이스크림은 왜 유통기한이 없죠 ?”,"
선진국에서 바른 먹거리 조기교육 열풍이 거센 가운데 국내에서도 최근 ‘바른 먹거리 확인’ 운동이 확산돼 식품업계의 주목을 받고 있다. 미래세대에게 바른 먹거리를 선택할 수 있는 능력을 키워 주고 이들을 현명한 소비자로 키워내는 게 대한민국 식품산업을 업그레이드하는 발판이 될 것이기 때문이다. 이에 문화일보는 ‘바른 먹거리가 바른 아이 키운다’특별기획을 통해 국내외의 바른 먹거리 교육 현장과 과제를 점검한다.

“왜 아이스크림에는 유통기한이 없어요?” 

“병이나 캔제품은 유통기한이 어디에 적혀 있어요?” 

24일 오후 서울 강북구 미아동 화계초등학교에서 6학년생을 대상으로 열린 방과후 수업 ‘바른 먹거리 교실’. 아이들의 잇단 질문공세에 녹색소비자연대 전문영양강사 정유리(여·32)씨가 반색을 하며 답변을 이어갔다. 

“아이스크림은 영하 18도 이하의 냉동상태에서 유통돼 미생물 번식이 어렵기 때문이에요. 병이나 캔제품은 뚜껑이나 밑바닥을 보면 유통기한을 확인할 수 있어요.” 

이날 바른 먹거리 교실에서는 6학년생 18명이 모여 평소 즐겨 먹는 가공식품에 대한 궁금증을 쏟아냈다. ‘식품표시란 무엇인가’라는 주제로 열린 첫 수업의 준비물은 라면과 과자 등의 포장지였다. 아이들은 봉지에 인쇄된 성분 표시 부분을 잘라 골판지에 붙이고, 깨알처럼 적힌 설명 부분을 들여다보면서 무엇을 먼저 봐야 할지 당황하는 표정이다. 우선 유통기한을 먼저 봐야 한다는 설명에 아이들은 고개를 숙이고 유통기한 표시를 찾느라 분주하다. 유통기한 표시는 제조일로부터 판매가 허락된 기한이고, 이를 넘긴 상품을 사 먹으면 위험할 수 있다는 설명을 듣자 이내 고개를 끄덕인다. 아이들이 가장 많은 관심을 보이는 대목은 암호문처럼 적힌 식품성분 표시.


이태영 (여·13)양은 “아이스크림 포장지에 적힌 아황산나트륨이 어떤 것인지 모르겠다”며 고개를 젓는다. 아황산나트륨은 식품 색깔을 빨갛게 또는 노랗게 만들기도 하고 부패를 방지하게 하는 첨가물로, 과도하게 섭취하면 기관지염이나 천식에 걸리는 것은 물론 심지어 중국에선 이로 인해 사망한 사건도 있다는 이야기를 듣자, 눈이 동그래진다.

하지만 식품에 쓰이는 첨가물은 모두 국가로부터 안전판정을 받은 것이고 인체에 직접적인 해는 없다는 설명을 듣고 나서야 가슴을 쓸어내린다. 이양은 “앞으로 아황산나트륨이 들어간 식품은 먹으면 안 될 것 같다”고 소감을 말했다. 남가애(여·13)양도 “수업시간에 배운 대로 대형마트에 가면 좀 더 영양가 있는 식품을 사 먹을 것”이라고 말했다. 

바른 먹거리 교실은 어린이들이 올바른 가공식품 선택법을 익힐 수 있도록 하기 위해 지난 4월부터 시작됐다. 풀무원이 서울시, 녹색소비자연대와 손잡고 초등학교 교실을 직접 찾아가 바른 먹거리가 무엇이고, 식품의 성분표시와 유통기한을 어떻게 읽는지를 가르치는 ‘바른 먹거리 확인 캠페인’의 하나이다. 

현재 서울시내 25개 초등학교를 대상으로 학교마다 4회씩 총 100회의 교육이 잡혀 있으며, 교육대상을 6대 광역시로 확대해 갈 예정이다. 

노기섭기자 mac4g@munhwa.com
"
문화일보,“아이스크림은 왜 유통기한이 없죠 ?”,"
선진국에서 바른 먹거리 조기교육 열풍이 거센 가운데 국내에서도 최근 ‘바른 먹거리 확인’ 운동이 확산돼 식품업계의 주목을 받고 있다. 미래세대에게 바른 먹거리를 선택할 수 있는 능력을 키워 주고 이들을 현명한 소비자로 키워내는 게 대한민국 식품산업을 업그레이드하는 발판이 될 것이기 때문이다. 이에 문화일보는 ‘바른 먹거리가 바른 아이 키운다’특별기획을 통해 국내외의 바른 먹거리 교육 현장과 과제를 점검한다.

“왜 아이스크림에는 유통기한이 없어요?” 

“병이나 캔제품은 유통기한이 어디에 적혀 있어요?” 

24일 오후 서울 강북구 미아동 화계초등학교에서 6학년생을 대상으로 열린 방과후 수업 ‘바른 먹거리 교실’. 아이들의 잇단 질문공세에 녹색소비자연대 전문영양강사 정유리(여·32)씨가 반색을 하며 답변을 이어갔다. 

“아이스크림은 영하 18도 이하의 냉동상태에서 유통돼 미생물 번식이 어렵기 때문이에요. 병이나 캔제품은 뚜껑이나 밑바닥을 보면 유통기한을 확인할 수 있어요.” 

이날 바른 먹거리 교실에서는 6학년생 18명이 모여 평소 즐겨 먹는 가공식품에 대한 궁금증을 쏟아냈다. ‘식품표시란 무엇인가’라는 주제로 열린 첫 수업의 준비물은 라면과 과자 등의 포장지였다. 아이들은 봉지에 인쇄된 성분 표시 부분을 잘라 골판지에 붙이고, 깨알처럼 적힌 설명 부분을 들여다보면서 무엇을 먼저 봐야 할지 당황하는 표정이다. 우선 유통기한을 먼저 봐야 한다는 설명에 아이들은 고개를 숙이고 유통기한 표시를 찾느라 분주하다. 유통기한 표시는 제조일로부터 판매가 허락된 기한이고, 이를 넘긴 상품을 사 먹으면 위험할 수 있다는 설명을 듣자 이내 고개를 끄덕인다. 아이들이 가장 많은 관심을 보이는 대목은 암호문처럼 적힌 식품성분 표시.


이태영 (여·13)양은 “아이스크림 포장지에 적힌 아황산나트륨이 어떤 것인지 모르겠다”며 고개를 젓는다. 아황산나트륨은 식품 색깔을 빨갛게 또는 노랗게 만들기도 하고 부패를 방지하게 하는 첨가물로, 과도하게 섭취하면 기관지염이나 천식에 걸리는 것은 물론 심지어 중국에선 이로 인해 사망한 사건도 있다는 이야기를 듣자, 눈이 동그래진다.

하지만 식품에 쓰이는 첨가물은 모두 국가로부터 안전판정을 받은 것이고 인체에 직접적인 해는 없다는 설명을 듣고 나서야 가슴을 쓸어내린다. 이양은 “앞으로 아황산나트륨이 들어간 식품은 먹으면 안 될 것 같다”고 소감을 말했다. 남가애(여·13)양도 “수업시간에 배운 대로 대형마트에 가면 좀 더 영양가 있는 식품을 사 먹을 것”이라고 말했다. 

바른 먹거리 교실은 어린이들이 올바른 가공식품 선택법을 익힐 수 있도록 하기 위해 지난 4월부터 시작됐다. 풀무원이 서울시, 녹색소비자연대와 손잡고 초등학교 교실을 직접 찾아가 바른 먹거리가 무엇이고, 식품의 성분표시와 유통기한을 어떻게 읽는지를 가르치는 ‘바른 먹거리 확인 캠페인’의 하나이다. 

현재 서울시내 25개 초등학교를 대상으로 학교마다 4회씩 총 100회의 교육이 잡혀 있으며, 교육대상을 6대 광역시로 확대해 갈 예정이다. 

노기섭기자 mac4g@munhwa.com
"
문화일보,“아이스크림은 왜 유통기한이 없죠 ?”,"
선진국에서 바른 먹거리 조기교육 열풍이 거센 가운데 국내에서도 최근 ‘바른 먹거리 확인’ 운동이 확산돼 식품업계의 주목을 받고 있다. 미래세대에게 바른 먹거리를 선택할 수 있는 능력을 키워 주고 이들을 현명한 소비자로 키워내는 게 대한민국 식품산업을 업그레이드하는 발판이 될 것이기 때문이다. 이에 문화일보는 ‘바른 먹거리가 바른 아이 키운다’특별기획을 통해 국내외의 바른 먹거리 교육 현장과 과제를 점검한다.

“왜 아이스크림에는 유통기한이 없어요?” 

“병이나 캔제품은 유통기한이 어디에 적혀 있어요?” 

24일 오후 서울 강북구 미아동 화계초등학교에서 6학년생을 대상으로 열린 방과후 수업 ‘바른 먹거리 교실’. 아이들의 잇단 질문공세에 녹색소비자연대 전문영양강사 정유리(여·32)씨가 반색을 하며 답변을 이어갔다. 

“아이스크림은 영하 18도 이하의 냉동상태에서 유통돼 미생물 번식이 어렵기 때문이에요. 병이나 캔제품은 뚜껑이나 밑바닥을 보면 유통기한을 확인할 수 있어요.” 

이날 바른 먹거리 교실에서는 6학년생 18명이 모여 평소 즐겨 먹는 가공식품에 대한 궁금증을 쏟아냈다. ‘식품표시란 무엇인가’라는 주제로 열린 첫 수업의 준비물은 라면과 과자 등의 포장지였다. 아이들은 봉지에 인쇄된 성분 표시 부분을 잘라 골판지에 붙이고, 깨알처럼 적힌 설명 부분을 들여다보면서 무엇을 먼저 봐야 할지 당황하는 표정이다. 우선 유통기한을 먼저 봐야 한다는 설명에 아이들은 고개를 숙이고 유통기한 표시를 찾느라 분주하다. 유통기한 표시는 제조일로부터 판매가 허락된 기한이고, 이를 넘긴 상품을 사 먹으면 위험할 수 있다는 설명을 듣자 이내 고개를 끄덕인다. 아이들이 가장 많은 관심을 보이는 대목은 암호문처럼 적힌 식품성분 표시.


이태영 (여·13)양은 “아이스크림 포장지에 적힌 아황산나트륨이 어떤 것인지 모르겠다”며 고개를 젓는다. 아황산나트륨은 식품 색깔을 빨갛게 또는 노랗게 만들기도 하고 부패를 방지하게 하는 첨가물로, 과도하게 섭취하면 기관지염이나 천식에 걸리는 것은 물론 심지어 중국에선 이로 인해 사망한 사건도 있다는 이야기를 듣자, 눈이 동그래진다.

하지만 식품에 쓰이는 첨가물은 모두 국가로부터 안전판정을 받은 것이고 인체에 직접적인 해는 없다는 설명을 듣고 나서야 가슴을 쓸어내린다. 이양은 “앞으로 아황산나트륨이 들어간 식품은 먹으면 안 될 것 같다”고 소감을 말했다. 남가애(여·13)양도 “수업시간에 배운 대로 대형마트에 가면 좀 더 영양가 있는 식품을 사 먹을 것”이라고 말했다. 

바른 먹거리 교실은 어린이들이 올바른 가공식품 선택법을 익힐 수 있도록 하기 위해 지난 4월부터 시작됐다. 풀무원이 서울시, 녹색소비자연대와 손잡고 초등학교 교실을 직접 찾아가 바른 먹거리가 무엇이고, 식품의 성분표시와 유통기한을 어떻게 읽는지를 가르치는 ‘바른 먹거리 확인 캠페인’의 하나이다. 

현재 서울시내 25개 초등학교를 대상으로 학교마다 4회씩 총 100회의 교육이 잡혀 있으며, 교육대상을 6대 광역시로 확대해 갈 예정이다. 

노기섭기자 mac4g@munhwa.com
"
