,내용
47,요즘 카뱅처럼 인터냇은행도생기고 통장만들려면 발급비같은겄도줘야된더던데 환경오염된다고 사실저는 집에서 통장잃어버려서 안보입니다 삼성페이에 등록해서 통장쓸일이없어요
48,컵에 때자국 보이시나요 환경오염 보단 개인신체오염이 더 걱정됩니다 ㅜㅜ 일회용컵 달라하니 본인들 벌금 문다는 소리나해대고 정작컵은 저따구로 씻고
49,일단 환경오염은 폐기시 발생할거같고 견고성은 좋을것같습니다 소음도 어느정도 흡수하지않을까요 단가부분도 메리트있을거같은데요
50,인방 스타크래프트 테란의 세력 첫번째13번째 편입니다 저번에 언급했었던 테란 세력에 관한 길어져서 결국 쪼갰습니다 항상 그렇듯 오류가 있을 수도 있고 설정이 변경될 수도 있기 때문에 맹신하시면 안됩니다
51,나 사이코패스인가포인트 결제도 터지는데 코인도 터졌으면 좋겠다 그래픽카드 정상가에 사고 환경오염 줄이게
52,주식 어렵다 그냥 저만의 아몰랑 매매법1 전기차 시대 온다 투자 주식 현대모비스지분 구조 ㅈ까고 펀더멘탈 믿는다 전기차 시대 오면 배터리 산업 커지겠지 뭐 2 환경 오염문제 너무 심각하다 투자 주식 한
53,곡물사료 원자재관련 주식 추천부탁드립니다요즘 환경오염으로 인한 이상기후로 홍수와 가뭄 온도변화가 크게 일어나는데요 그래서 곡물사료 원자재관련 미국주식 매수하려고 합니다 제가아는건 카길 번기 이렇게 3곳인데
54,포텐간 태양광 근황이 더욱 심각한 점원문 기사 20210809643 댓글이나 글내용에서 가장 중요한 문제점 부분을 다루지 않아서 문제인대통
55,우연히 살면서 처음 알게됨 립스틱과 환경오염우덜식 환경오염 아 ㅅㅂ 코인맨인데 내 트위터 알고리즘 타락했다 이거 추천해줌 ㅡㅡ
56,파카 ㅋㅋㅋㅋㅋㅋㅋ이거 환경오염이야 누가 치울껀데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
57,역시 분리수거 전문가 답게 풍등 날리는거보고 환경오염이라하네왜 스킵 안되냐 불편하게
58,스압로붕이가 추천하는 로스트아크 모음안녕하세요 학업으로 인해서 잠시 로스트아크를 접게된 로붕이입니다 사실 짬내서 접속해가주고 군단장가고 숙제하는중 유튜브에 로아가 뜨는걸 어떻게해 로아 못참아 제가 자주 즐겨
59,코로나19 해결법짤막 소설코로나19가 발생하고 6년이 지난 지금도 여전히 백신 변이 백신 변이의 반복이 지속되고 있다 변이는 어느덧 그리스문자의 제일 마지막 글자인 오메가 변이까지 나타났으며 다음 변이
60,20210729 오늘의 상한가 이야기20210729 오늘의 상한가 이야기 안녕하세요 주식초보 주린이입니다 정규장과 시간외 상한가 간 종목들을 알아보고 어떠한 테마와 이슈가 있었는지 같이 알아보려 합니다 오늘 정
61,에버그레이스 스토리는 지금 이런 것 같은뎅에버그레이스가 저울 재고 있는 것 같은데 아크라시아 멸망 아크라시아 유지 여기서 카제로스랑 대화 했는데 카제로스가 야 아니 저새끼들 환경 오염만 시키고 개판이라니까 칼트헤
62,와 근데 중국놈들 환경오염한 대가 톡톡히 치르네ㄷㄷㄷ
63,스압요약 충격적인 바다의 진실요약 1 우리가 흔히 문제로 삼는 플라스틱 빨대는 바다 쓰레기 중 003 절반 가까운 플라스틱 쓰레기는 그물 2 바다생물이 멸종해가는 가장 큰 이유는 어업과 어업에서 나오는
64,캐시 우드 암호화폐 투자 확대…저가매수 찬스캐시 우드는 일론 머스크 테슬라 잭 도시 트위터 등과 함께 대표적인 암호화폐 옹호론자로 꼽힌다 암호화폐와 관련해 환경 오염 문제가 계속 제기되지만 환경·사회·지배구
65,산에 태양광 깔아놓은거 있잖아그거 제거한다고 해도 환경오염 ㅈ된거 맞지
66,환경오염 지구온난화 관련해선 중국이랑 미국등 거대 국가 때문에친환경 운동이니 뭐니 이런거 체감이 안 됨 내가 열심히 분리수거 하고 채식하고 쓰레기 줍는다고 의미가 없을거 같음 그렇다고 안 하고 있는건 아님 분리수거나 쓰레기 안 버리
67,환경오염의 주범 축산업불편한진실이라 아무도 공론화시키지못함 또 비건선동이라고 지랄하는새끼들 있을까봐 하는말 아마존에 왜 그렇게 열심히 불질러서 경작지를 만드냐면 축산업때문임
68,20210719 오늘의 상한가 이야기20210719 오늘의 상한가 이야기 안녕하세요 주식초보 주린이입니다 정규장과 시간외 상한가 간 종목들을 알아보고 어떠한 테마와 이슈가 있었는지 같이 알아보려 합니다 오늘 정
69,장투 종목하나 분할로 매수하기 나쁘지않은 가격으로 가고있네요많이들 아시는 개인적인 미장 초장투종목으로 20불깨지면 분할로 줍고있는 종목입니다 친환경플라스틱 썪는 플라스틱 만드는 회사구요 현재는 재무상태가 좋진않습니다만 거시적
70,지구야 에어컨 틀어서 미안해그치만 에어컨을 튼 내가 나쁜게 아니야 그까짓 환경오염에 몸에 열나는 너가 나쁜거야
71,아ㅋㅋ 우리 지구에는 왜 마나 없냐고다른 지구에는 마나 담은 마석으로 에어컨 가동해서 환경오염도 안된대
72,나는 국대다 글 검토 좀 해주라 형들내용 제가 생각하고 있는 정책은 ‘ ’ 사업입니다 제가 벌써 학교라는 곳을 다니기 시작한지 년이 다 되어 가는데요 매번 학교를 다닐때 마다 느끼는 문제점이
73,여친이 갑자기 등산가자고 남산 올라가자는데ㅡㅡ요새 자꾸 여친이 결혼하자고 꼬시는데 며칠 전에 오빠 근데 결혼하기 전에 꼭 남자랑 같이 등산가보랬어 우리 남산 올라가보자 하더니 날 끌고서 남산
74,주식 비트코인과 재생에너지에 대한 의문이 있네요테슬라 관련 유튜버들은 거의다 비트코인에 대해서 맨날 이야기 하는데 그럴 때마다 비트코인 채굴 시 재생에너지 사용비율은 50퍼센트가 넘는다 라고 하는데 이건 뭘 근거로 말하는
75,지구온난화나 환경오염으로 비롯한 환경재해로 발생한 자연재해로 인한 인류 멸망 가능성 어떻게 생각해진지하게 환경오염이나 지구 온난화로 인한 환경재해로 인간이 멸망 할 수 있다고 생각해 난 이대로 가다간 먼 훗날에는 정말 그렇게 될거라고 생각해
76,디젤도 관리 잘하면 고장 덜나지않음깨지고 이런건 시내주행만 ㅈㄴ하고 엔진오일 연료필터 재깍재깍 안 갈아줘서 그런거아닌가요제 주변에 디젤타는 사람들은 아무 문제 없이 타고다니는데 인터넷에선 언제 터질지
77,금호석유 잘못 알고 있는거 지적 부탁드립니다계속 횡보하는데 혹시나 훅 빠질까봐 걱정되서 뭐하는 회사인지 확인하고자 함 모든 글은 뇌피셜이므로 틀려도 뭐라고 하기 없음 저도 500 주 물려있습니다 틀린거 지적 환영합니다
78,환경오염 심각한가봐 북극빙하 면적 50가 감소해충갤보다 심각한듯
79,비건들이 본인들의 주장을 위해 할일 우선순위는비건이 주장하는 것은 1차원적이다 인간도 동물이다 그리고 잡식성이다 생태계에서 채식이던 육식이던 에너지원 소비는 정상이다 인간은 채소와 육류를 다 먹는다 도살장에 가면서
80,펌 사실은 제일 행복한 세대인 사토리 세대일본 사토리 세대는 포기하고 사는게 아닌데 일본 정부가 선동하는 것임사토리 세대 놈들 좀 더 열심히 하라고 실제 일본 사토리 세대의 평균 삶의 질은 일본 유사 이래로 제
81,바이든이 연설하면 언급수위 어느정도 봄하고 끝낸다 라고 언급 2 비트코인은 달러에 대항하려 하고 있으며 환경오염 문제도 있고 나는 이걸 좋게 보지 않는다 라고 언급 1번 2
82,에어컨은 누구에게 맞춰야 하는가에어컨 온도는 가장 더위를 타는 사람에게 맞추어 가능한 낮게 세팅해야 한다는 주장이 많다 하지만 그래선 안 된다 지나치게 더위를 많이 타는 사람에게 맞추어 온도를 18도로 설
83,배들의 무덤 치타공세계최빈국중 하나인 방글라데시의 치타공 갯벌이 길게 형성되어 있는 환경을 이용해 전세계 대형선박들의 절반가량이 이곳에서 해체됨 대형선박들은 이곳말고도 인도 파키스탄같은 남아
84,4대강 까는 영화보여주고 보고서 쓰라고 한 선생 썰 ㅋㅋㅋㅋㅋㅋㅋ364219208036427972433642797243 어제 사상강요하는 선생 썰 풀고 인기글 간 고 3 펨붕이임 ㅋㅋㅋㅋ 이번에는 제목
85,자동차세는 폐지되어야 하는거 아닌가 싶네요요즘 자동차세 개편안이 논의 되고 있는거 같은데 애초에 매년 자동차세를 내는 것 자체가 말이 안되는듯 제일 먼저 구입시 차량에 따라 개별소비세 교육세 부가세 등이 결정되고
86,환경오염 신고를 하면일단 난 상습신고충이 이니다 알미늄 재활 공장에서 나오는 매연이 너무 심해서 시 환경과에 신고를 했더니 아무 조치도 없음 그래서 환경부 신고 대표번호로 신고를 했는데 순간 당황
87,비트코인 다큐보는데 진짜 좆같은거네전력낭비 환경오염
88,여성 촉법 소년 환경운동가 민폐 여혐 국가환경 운동가 툰베리가 중국의 환경 오염을 지적하자중국은 툰베리가 살쪘다며 툰베리가 먹은 것이 많아 환경 오염을 일으켰다고 주장했다 그러면서 툰베리보고 살찐 공주라고 하는데
89,20210528 오늘의 상한가 이야기20210528 오늘의 상한가 이야기 안녕하세요 주식초보 주린이입니다 정규장과 시간외 상한가 간 종목들을 알아보고 어떠한 테마와 이슈가 있었는지 같이 알아보려 합니다 오늘 정
90,철강주들고계신분들이 읽으면 좋을글장문주의마스크 사례는 좋은 예시가 될수있음 코로나로 인해 집집마다 마스크가 필요해졌고 그 수요를 채워줄 생산은 부족했음 당연히 마스크값은 올라가기 시작했고 대량 사재기가 유통업자들
91,화력은 환경오염 심하고 수력ㆍ풍력은 우리나라 여건상 불가능하다고 초딩때 배웠는데초딩 담임 쌤이 대통령보다 낫네 시발
92,뭔가 진짜 물밑에서 큰 작업이 이뤄지고 있는것같음코로나가 트리거를 당긴거고 유동성이 예정에도 없이 풀리면서 달러의 가치는 하락하고 중국이 치고올라오는 상황에서 천천히 를 준비하려 했던 미국이 암호함폐 시장에서 중국이 치
93,골드만삭스 디지털 자산 총괄 암호화폐 상품 확대하겠다글로벌 투자은행 골드만삭스의 디지털 자산 총괄이 비트코인 하락장에서도 암호화폐 상품을 확대하겠다는 의지를 밝혔다 23일미국시간 코인데스크에 따르면 매튜 맥더모트
94,이번 미사일 사거리 제한 해제가 진짜 의미있는 이유출처 1064385 1 사거리 제한 해제 ​ ​ 이게 생각보다 큰게 일단 현재까지의 제한만으로도 이미 북폭은 충분히 가
95,환경도르가 치트키임걍 각국 정부에서 비트코인 너 이새끼 건방져 하면서 팰때 명분을 채굴할때 전기쳐먹어서 환경오염됨 ㅎㅎ 으로 잡고 팰수 있음 이제부턴 탈중앙화니 뭐니 이미 유명무실해진지 오래고
96,80 에는 천연가죽이 아닌 시트 옵션이 있을꺼라고 합니다ü 채널호스트 토마스 아저씨는 환경에도 관심이 많고 이 천연 소가죽을 대체할 수 있는 패브릭인조가죽 것에 많이 중요도를 두시는데 현대에서 80 시승차를 받을때 80
97,하락하면 비로소 보이는 것들오를 때는 몰랐다 그의 말대로 될 것 같았다 조만간 전기차의 시대가 온다 그리고 지구온난화가 초래한 기후변화 때문에 지구는 살 곳이 못 된다고 그래서 우주로켓을 쏴 민간기업
98,저승사자 관련글에 대한 부연 설명여기는 한번 쓴거는 수정이 안되네요 그래서 별도로 다시 씁니다 저는 저승사자나 영계 영혼이런것에 대해서는 별로 언급하고 싶지 않았는데 어쩌다보니 언급하게되었네요 저는 영계
99,나만그래 환경오염도 개심각하고 막 100세 시대 어쩌구 하는데 오히려 지구 멸망하거나 인간 멸종해서 560살쯤되면 전부 뒤질듯
100,편의점 봉투값 받는거 알아 대형마트도 그렇고 다 봉투값 받잖아 환경오염 때문에 봉투값 안받으면 벌금이라 다 받아야하는거로 알고있는데 모르는 사람이 더 많나
101,채식한다는 사람중에서 고기 많이 먹으니까 건강에 안좋은것 같아 채식할래이해ㄱㄴ 육식때문에 환경오염이 심한것 같아 채식할래ㅇㅋ 육식은 야만적이야 동물이 불쌍해 이거임 내가 이래라저래라 그럴거는 아니고 개인적으로 이해가 안가는거임ㅋㅋ
102,슬슬 환경오염 엄청 심각해진다잖아 결국 다 죽게 되려나 재난 발생 심해지면 다 죽는거 예사가 아닐거같은데어떻게되려나 늘 그렇듯 또 그냥 지나가고 평범하게 살려나 다들
103,막 여러가지 문제점 제시하고 갑자기 마지막에 이건 어른들이 하셔야 되는일 아닌가요 이러는건데 ㄹㅇ 광고가 왜저럼 어른 아이 구분없이 다 지켜야 되는거 아니냐
104,허버허버나 오조오억 집게 손 가지고 남혐이라 하는거 왜 여자들이 조심해야 하는지도 모르겠고 옆나라 중국 일본때문에 조카 짜증나고 환경오염은 더더 심해지고 코로나인데도 놀러나가고 여혐범죄 살해 가정폭력 눈에 잘 띄고 대체 이 나라를 어떻게 만들 생각인지 정말 궁금함
105,환경오염된다
106,ㅇㄱㄹ ㅈㅅ 배쓰밤 있자나 그거 환경오염 ㅈㄴ되려나ㅠㅠㅠ
107,스위스 유학중인데 친구가 자꾸 인종차별로 은근슬쩍 디스하길래 틱톡에 그 컨실러 졸라 얼굴에 쳐덕쳐덕 하는거 따라하면서 와 ㅁㅊ 진짜 이렇게 해 환경오염 장난 아니겠다 이랬다가 졸라 싸워서 말도 안함
108,학교에서 뭐 할 때마다 최준 말투 씀 ㅋㅋㅋ 환경 오염 관해서 시 쓰는 거 있었는데 철이 없었죠 일회용품을 많이 썼다는 게 이렇게 쓰고 그럼
109,틱톡 잼민이들 뭐만하면 환경오염 이지랄하는데 ㅋㅋㅋㅋㅋㅋ ㅅㅂ 아까 세면대에 물 조금 받아놓고 싸인팬으로 색 낸 영상에 환경오염 ㅇㅈㄹ 이딴 논리 어떻게 없애지 ㄹㅇ
110,ㅈㄱㄴ 아무나 좀 알려줘
111,호주 환경법원의 정확한 판결 한국의 문재인은환경오염없는 원자력발전소는 폐쇄하고 검은연기 풀풀 나는 석탄으로 발전소를 오늘 조선닷컴 쇼킹 뉴스
112,액괴 ㅆ1발 걍 불법때리면 안됨 걍 싹다 없어졌음좋겠음 저런년들이 하루에 수딩젤 새 거 몇통씩 사재껴서 수딩젤 낭비플라스틱 통 과다발생물풀 점토통 플라스틱 등등액괴 몇 일 만지다가 버려서 환경오염 좇돼
113,쌤이 환경오염 주제로 주고 보고서 써오라는데 이런 자율보고서도 진로랑 연관시켜 보통
114,보고서 써서 자율에 넣어야되는데 주제가 환경오염임 난 사교과 희망중 뭔 내용 뭔주제로 해야 연관이 지어지지
115,환경보호 외치는 애들은 왜 다 이상한거에 집착하냐 환경보호 하는건 당인히 옳은 일인데 왜 그 방식을 유튜브 같은거만 보고 배워서 친환경적인 행동이 오히려 환경오염을 더 야기할 수 있다는 건 생각도 못함 설명해줘도 이해하려고 하지도 않고 이해 할 능력도 없는 것 같다
116,사람들이 옷을 하도 사재끼니까 버려지는 옷이 겁나게 많음문제는 옷만드는데 원가가 싸니까 업체는 엄청 찍어 댐다 쓰레기가 됨나이키가 그래서 막 친환경소재로 옷 조금씩 만들고 홍보하는게 이 이유라고 생각함어디선가 주워들음
117,시간버려 돈버려 환경오염시켜 죽을수도있어 스트레스받아 백해무익인데
118,하면서 정작 여기저기 과대포장 남발로 환경오염 더 시키는건 생각안하누쓰래기백 좀 없애라 ㅅㅂ
119,외모차별 학벌차별 집안차별 지역차별 온갖차별에 생로병사에 환경오염에
120,저거 순식간에 따라락 따져서브라질 개새끼때문에 환경오염 엔딩 나서 그런가 했더니 그냥 상대로 이기면 주는거네근데 일단 왜 업적 이름이 저따구고난 제국난이도로 이겼는데 왜 대도시국가인류 난이도 승리가 뜨냐
121,참호나오고 기차역나오고 이러면서 시대가 변하면서 뭔가 변하는구나 이런 느낌이 확확 와 닿는데전략자원이랑 환경오염만 어떻게 해줬으면 좋겠다 ㅠㅠ그리고 해군 버프도 ㅋㅋㅋ
122,소련으로 최대한 오염발생을 적게 하려고 노력했더니 오염단계가 0단계를 벗어나지도 않았다 인류의 가까운 미래에 관해 다루는 게임이 기후위기를 축소시키는 것은 팩트로도 틀렸을 뿐만 아니라 재미없는 게임디자인이다 리뷰어는 오염 효과 별것도 없다고 깠음 ㅋㅋ
123,씨발 내가 뭘 해처먹었다고 벌써 환경 오염 좆망이노 현대 시대부터 확 짜증나네
124,리튬이 존나 많다는 거다엘론 머스크가 기본소득이니 뭐니 떠들다 만 이유가 다 잇다리튬 채굴할때 환경 오염되고 독성이 잇다매탈레반이 리튬을 만약에 미국에다가 갖다 바친다면그 자체로 중국 압박이고바이든의 외교 1승이추가되는거 아닐까
125,그만큼 환경 오염 심각하긔윤
126,누가 환경오염 그렇게 하랬어 으이
127,진짜 이러다가 이상기후 점점 심해져서 다 좆되긔
128,어느지역이라도 ㅋㅋㅋㅋ
129,오히려 전기차가 환경을 더 오염시키지 않음
130,깨끗한 산과 물이 사라져가요
131,이게 막상 캐다보니까 경제성이 좀 떨어진다더라환경 오염 문제도 있고미국이 중동을 완전 버리는 상황은 나오지 않을듯
132,나오고 그랬는데환경오염 때문에 금지됐잖아장례도 트렌드긔
133,환경오염 물질은 경유에서 다 나오고어차피 정부에서 화물차들 기름값 지원도 다 해주는데왜 가솔린에 세금을 더 메기는지 궁금함
134,환경오염 도입 초반에 테스터들 사이에 원자력 발전소 기반시설이 핵폐기물 만들어내니까 오염이 늘어야 하는지 탄소배출을 줄이니까 오염이 줄어야 하는지 논의했던 적이 있다결과적으로 앰플리튜드는 원자력 발전소에 오염 감소 30를 달았다
135,ㅎㅎㅎㅎ
136,집에 한바가지 쌓여있는데 이거 환경오염 심할거같아
137,핵 쏘기 직전에 환경오염으로 지구멸망함 ㄲㅂ
138,ㅋㅋㅋ
139,ㅇㅇ
140,요즘 버거집이나 카페들 환경오염땜에 빨대 안쳐주거나 좆같은 종이빨대로 바꾸고있음 니미씨발 환경을 지킬거면 에어컨부터 쳐 끄던가 좆같은새끼들
141,저게 용족일리가 없어
142,환경오염탓이아니고 유전자가 병신인거긔지능낮은 띵잦들만 유전자 번식하니 날이갈수록 병신이 되가는거긔
143,성적싸움에 팬싸가려는 수단으로 그저 쓰레기를 몇백개씩 돈으로 주고 사고 또 처치곤란이라 고아원에 버리고 자원낭비의 끝판왕이긔 이정도면 사회악이야
144,사실 땅을 수압으로 분해를 시켜서 바위속에있는 오일 뽑아내는거 아니냐 한마디로 산을 걍 갈아ㅂㅓ리는거짆아캬…… 노빠꾸다잉자연훼선 환경오염뒤돌아보지 않는구나
145,20세기에서 극심한 환경오염이상기후가 추가된 세기가 아닐까
146,우리나라 6천만명 전부가 환경 생각해봐야 중국 인구 10퍼만 좆같이해도 영향력이 그게 더 큼ㅋㅋ근데 짱깨새끼들 좆같이하는게 10퍼 뿐이겠음 우리가 환경 지키자고 행동하는것의 영향력은 굉장히 미미함
147,버려지는 앨범으로 환경오염하지 말고일반인보다 못한 가창력으로 귀 썩게 하지 말고 은퇴가즈아
148,정작종이빨대 만드는것도 다 환경오염이야그냥 입대고 마셔
