,언론사,제목,내용
48,국민일보,중국인 눈길 머무는 곳… 한국 간판 식품 있다네,한국 간판 식품업체들이 중국인들의 입맛에 맞춘 제품 현지화로 13억 대륙 시장에서 선전하고 있다 최근 동원는 중국 참치캔 시장에 본격 진출했다 중국시장 진출을 위해 중국인들의 참치캔 취식행태를 분석 현지인들의 입맛에 맞는 중화풍 참치캔 3종광동식 사천식 오향식을 개발했다 연구원들은 안산 대림 등 주한 중국인들이 많이 모여 사는 곳을 찾아다니며 현지인들이 좋아하는 맛을 직접 체험해보고 제품 개발에 적용시켜나갔다 동원측은 최고 수준의 기술력과 노하우를 바탕으로 중국 현지시장 본격 진출 5년째인 2018년 연 매출 5000억원 이상을 목표로 하고 있다 바른 먹거리 식품 기업 풀무원도 물냉면과 비빔냉면을 혼합한 타입으로 냉면육수에 비빔장을 곁들인 비빔 물냉면을 출시해 호응을 얻고 있다 한국에서는 물냉면과 비빔냉면으로 이원화돼 있었으나 우리의 비빔냉면이 중국인들의 입맛에 뻑뻑한 편이어서 동치미 육수를 적절히 늘려 반물냉면 형태로 출시한 것이 맞아 떨어졌다 이 제품은 한국서 함흥 비빔냉면이라는 명칭으로 팔리고 있으나 중국에서는 드라마 대장금의 영향으로 한국 궁중음식에 대한 동경심이 형성돼 있어 제품명을 한식 궁중 비빔냉면으로 교체하기도 했다 제과업체 오리온도 지난해 현지 시장 진출 20년 만에 처음으로 중국 매출 1조원을 돌파했다 오리온은 중국 소비자들에게 가깝게 다가가기 위해 주력 상품인 초코파이의 이름을 ‘하오리여우好麗友 좋은 친구파이’로 바꿨다 제품 콘셉트도 ‘정情’에서 중국인에게 친숙한 ‘인仁’으로 교체했다 고래밥 토마토 맛의 경우 중국인의 입맛에 맞게 원료를 바꿔 중국 현지화에 성공했다 세계적인 대한민국 라면 신라면도 예외는 아니다 농심이 중국에서 생산하는 신라면의 가격은 한국보다 약 2배 정도 비싸다 하지만 신라면과 더불어 육개장 안성탕면 너구리 등 농심 라면이 안전한 프리미엄 식품으로 인식하고 있어 재구매율이 높다 이에 따라 농심은 우리나라에는 한 가지 종류 뿐인 신라면을 기본맛 신라면과 함께 새우맛 신라면까지 개발 판매해 중국인들로부터 인기를 끌고 있다 업계 관계자는 “문화콘텐츠 못지않게 식품 역시 중국 내 한류 열풍의 중심에 있다”며 “향후에도 현지인들의 입맛에 맞춘 프리미엄 이미지의 한국 식품들이 더욱 선전할 것으로 예상된다”고 전했다 조규봉 쿠키건강 기자 ⓒ 국민일보 무단전재 및 수집 재배포금지
49,국민일보,"풀무원 우리아이, 소외아동 지원",쿠키 건강 풀무원식품 ‘우리아이’가 비영리공익재단 아름다운가게와 손잡고 국내 소외 아동 지원사업을 시작한다풀무원식품은 14일 아름다운가게 안국점에서 ‘우리아이아름다운가게 나눔 협약식’을 열고 저소득층 비인가 어린이 공부방 지원사업을 위한 기부금 1000만원 및 ‘우리아이’ 제품 지원1280만원 상당에 대한 협약을 체결했다 이 기부금은 저소득층 비인가 어린이 공부방을 중심으로 1개 공부방에 100만원씩 우선 지급되며 ‘우리아이’ 제품은 간식 공급에 어려움을 겪는 공부방에 전달되어 어린이 결식문제에 도움이 되도록 할 예정이다풀무원식품 마케팅 지원총괄 정종욱 상무는 “풀무원 ‘우리아이’는 38세 어린이 전용식 브랜드로 성장에 필요한 영양균형을 맞춘 바른먹거리이자 식습관으로 변화될 우리아이들의 미래까지 생각하는 풀무원의 철학에서 탄생한 제품”이라며 “환경적인 문제로 자칫 영양균형을 잃기 쉬운 소외계층의 어린이들 건강에 도움이 됐으면 한다”고 말했다한편 풀무원식품 ‘우리아이’ 는 평생 입맛의 기초가 형성되는 38세의 아동기의 바른 식습관을 길러줄 ‘어린이 전용식’ 통합 브랜드로 모든 제품을 대한민국 어린이의 영양섭취 실태와 생애 주기 특성을 고려해 맞춤 설계됐다 국민일보 쿠키뉴스 조규봉 기자 ⓒ 국민일보 무단전재 및 수집 재배포금지
50,국민일보,"먹기만해도 뱃살이 쏙, 질병 치료하는 껌·고추장… 과장광고 ‘유혹’ 마음까지 병든다",“‘4주 다이어트 완성’이라는 업체 말만 믿었죠 확실하다고 했으니까요 그런데 아무리 먹어도 효과는 없고 오히려 계속되는 설사와 복통에 부작용만 커지더라고요 병원에 갔더니 의사 선생 말이 엉터리 제품에 놀아났다고 하더군요 정말이지 식품업체가 판매하는 건강식품 어디까지 믿어야 하나요” 식품업체 말만 믿고 다이어트 식품을 6개월간 복용했다가 결국 병원행 신세를 지게 된 주부 조명진39·울산시 남구 신정동씨 올해 여름을 위해 준비한 그녀의 다이어트는 식품업체의 거짓말에 물거품이 됐다 상처만 받은 조씨는 현재 우울증 진단까지 받은 상태다 조씨는 “여자라면 누구나 여름 바캉스에 대한 로망이 있다”며 “그런 로망을 역이용한 식품업체의 새빨간 거짓말에 치가 떨린다”고 목소리를 높였다 무작정 식품업체의 광고만 믿고 제품을 구매했다간 조씨처럼 낭패를 보기 십상이다 당장의 이익만 생각하는 일부 업체들의 얌체 상술에 현혹되기 쉽기 때문이다 쿠키건강이 단독 입수한 지방자치단체별 지난해 하반기6∼12월 식품 과대과장광고 적발 현황을 분석한 결과 건강에 유해한 제품을 마치 몸에 좋은 것처럼 속여 소비자에게 판매했다가 적발된 업체가 1만9668건에 달했다 지자체별로는 서울이 5336건으로 가장 많았고 경기 3817건 경남 1517건 인천 1203건순으로 나타났다 다른 지역에서도 적게는 350건에서 많게는 970여 건의 위반 사례가 적발됐다 수입비타민 판매업체 한국솔가는 단순 비타민을 마치 질병 예방의 특효약처럼 광고하다 영업정지를 당했다 대형유통업체인 홈플러스는 자일리톨 껌을 질병 치료에 효능이 있다는 내용으로 광고했다가 고발조치 당했다 바른먹거리로 소비자의 환심을 샀던 풀무원건강생활도 녹즙 등에 대해 질병 예방에 효과가 있는 것처럼 광고해 고발 조치됐다 특히 식품업체의 거짓말은 여기서 그치지 않는다 사조해표는 음식의 맛을 내는 고추장이 질병치료에 효능이 있다고 광고하기도 했다 소비자단체 관계자들은 “먹는 것을 만드는 회사가 먹는 것을 가지고 장난쳐서는 안 된다”며 “소비자들도 이제는 스스로 과대광고를 판단해 피해보는 일을 줄여야 한다”고 조언했다 조규봉 쿠키건강 기자 ⓒ 국민일보 무단전재 및 수집 재배포금지
51,국민일보,"풀무원, ‘일하기 좋은 기업’ 선정",쿠키 건강 풀무원이 2년 연속 일하기 좋은 기업으로 선정됐다풀무원홀딩스는 서울 강남구 역삼동 리츠칼튼호텔에서 코리아 주최로 열린 ‘2011 대한민국 일하기 좋은 100대 기업’ 시상식에서 판매 유통부문 본상을 수상했다고 10일 밝혔다이날 시상식에서 풀무원은 즐겁고 보람 있는 일터 문화를 만들기 위해 전사적인 노력을 아끼지 않은 공로를 인정받아 본상을 수상했다 풀무원홀딩스 이순 부사장은 “풀무원의 오늘이 있기까지 밑바탕에는 바른먹거리를 만든다는 자부심과 책임감으로 헌신한 임직원들이 있었다”며 “풀무원은 행복한 사람들이 서로 교류하는 좋은 일터 문화가 곧 기업의 경쟁력과 직결된다고 믿는다”고 전했다국민일보 쿠키뉴스 조규봉 기자 ⓒ 국민일보 무단전재 및 수집 재배포금지
52,국민일보,[CEO에게 듣는다-② 이효율 풀무원식품 사장] “동반 성장에도 대기업 역할 있어”… 두부 포기 못한다,풀무원식품은 2006년부터 제품 앞면에 모든 성분표시를 하고 있다 당시만 해도 칼로리와 나트륨 함량 정도를 제품 뒷면에 작게 표시하는 식품기업들이 대부분이었다 풀무원식품이 성분표시를 적극적으로 하게 된 것은 이효율54 사장의 아이디어에서 나온 것이다 “2005년 영국의 한 대형마트에서 성분표시를 모두 해놓은 가공식품들을 보았습니다 ‘이것이 소비자들의 알 권리를 지켜주는 중요한 방법’이라고 생각했어요 식품기업이 건강하고 안전한 식품을 만드는 것 우리가 만든 제품의 실체가 어떤지를 숨김없이 밝히는 것이 우리가 가져야 할 사회적 책임이라고 생각했습니다” 풀무원식품이 지난해부터 녹색소비자연대와 함께 ‘바른먹거리 조기교육 캠페인’을 벌이는 것도 기업의 사회적 책임을 실현하는 방식의 하나라는 것이다 이 사장은 최근 사회적 이목이 집중된 동반성장과 중소기업 적합업종 선정도 같은 맥락에서 봐야 한다고 말한다 중소기업 단체인 연식품협동조합연합회가 두부를 중기 적합업종으로 신청했고 이에 대해 중소기업에서 대기업으로 성장한 풀무원식품은 예외로 적용해야 한다는 의견이 팽팽한 상황이지만 그는 거리낌 없이 말을 꺼냈다 “풀무원식품이 작은 가게에서 대기업으로 성장하면서 두부 시장도 함께 컸습니다 중소기업이었지만 위생적인 생산과정을 선도하고 기술개발과 설비투자를 통해 품질 경쟁력을 갖추게 됐죠 두부를 연구하는 연구원만 100여명입니다 풀무원이 두부 사업을 중단하면 두부 시장 성장에도 타격을 줄 수 있습니다” 그는 글로벌 경쟁력을 갖추기 위해서라도 두부 사업을 포기할 수 없다고 말한다 풀무원식품은 2002년과 2008년 각각 미국과 중국에 진출해 성과를 거두고 있다 앞으로 일본 홍콩 등으로 해외사업을 확장할 계획이다 “동반성장은 분명히 이뤄야 할 가치입니다 하지만 좀 더 큰 시야에서 볼 필요가 있어요 대기업의 역할이 필요한 부분이 있다는 점을 인정하고 실천적으로 동반성장 가치를 찾아나가야 한다고 봅니다” 실천을 중시하는 그의 경영철학은 ‘실사구시實事求是’로 요약된다 실재하는 것을 확인하고 이를 현장에 맞게 적용해 끊임없이 변화하는 것이 기업 성장의 기본이라고 그는 생각한다 수시로 공장과 영업현장 해외사업 현장 등을 찾는 것도 이런 까닭에서다 “현장에 가보면 우리가 하고자 한 것들이 제대로 되고 있는지 바로 확인할 수 있습니다 새로운 아이디어도 찾게 되지요 현장에서 잘 되고 있는 것들은 발전시켜 진행하고 제대로 되지 않는 것들은 고쳐나는 과정을 거쳐야지만 기업이 커갈 수 있는 것입니다” 이 사장은 또 기업의 필수 덕목으로 ‘새로움을 추구하는 자세’를 꼽았다 수많은 경쟁자들이 앞다퉈 나아가고 있을 때 혁신을 추구하지 않는 기업은 끝내 말라죽게 된다는 것이다 그는 풀무원이 종업원 10여명의 구멍가게에서 직원 5000명을 둔 대기업으로 성장할 수 있었던 것도 치열한 혁신 추구에서 비롯됐다는 점을 강조했다 이 사장은 다음 달 신입사원들과 함께 산에 오르며 자연스러운 소통을 계획하고 있다 그가 신입사원 면접에서 가장 중요하게 보는 것은 성실성이라고 한다 “요즘 구직자들은 다양한 스펙을 쌓고 자기가 얼마나 창의적이고 재기발랄한지를 내세웁니다 그런데 난 그런 친구들을 많이 떨어뜨렸어요 성실하고 착실하게 성장할 사람이야말로 우리가 원하는 인재라고 생각해요” 그가 신입사원들에게 요구하는 것은 어떤 일에든 몰입하는 자세다 집중력을 갖고 일을 해야 성과가 나온다고 보기 때문이다 그는 “몰입의 기본은 자기 자신을 투여하는 것”이라고 말했다 몰입해서 일을 하다 보면 스스로가 바뀌어 발전해 있는 것을 확인할 수 있다는 것이다 비싼 등록금에 쉽게 이뤄지지 않는 꿈에 취업이라는 높은 벽 앞에서 힘들어하는 젊은이들에게 인생 선배로서 그가 전하려는 충고이기도 하다◇이효율 사장은△전북 전주 △서강대 철학과 △1983년 풀무원 입사 기단기획조정실 마케팅팀장 홍보기획팀 담당임원 생산본부장 마케팅본부장 풀무원식품 최고운영책임자 풀무원식품 최고경영자문수정 기자 ⓒ 국민일보 무단전재 및 수집 재배포금지
53,국민일보,식품업계는 지금 ‘안심먹을거리 캠페인’ 중,쿠키 건강 식음료 업계의 키워드로 ‘無첨가’ ‘유기농’ ‘천연’ ‘100’ 등이 확고하게 자리잡고 있는 가운데 식품기업들이 경쟁사와의 차별화 방안으로 ‘건강한 먹을거리’를 주제로 한 캠페인을 진행하는 사례가 늘고 있다 풀무원은 두부 전제품에 소포제 유화제뿐 아니라 화학응고제까지도 일체 사용하지 않는 ‘無화학 첨가물 두부’ 완성에 맞춰 이를 소비자들에게 알리기 위한 ‘그린서클 캠페인’을 전개하고 있다풀무원에 따르면‘그린서클’ 마크가 부착된 제품은 자연 원료 외에는 일체의 화학첨가물이 들어있지 않다는 것을 뜻하며 ‘내 가족의 건강과 행복을 위한 완벽하고 안전한 바른먹거리’를 상징한다매일유업은 ‘프레쉬 뉴스 캠페인’을 진행한다 ‘ 캠페인’은 매일유업이 생산하는 전 가공유 제품에 대해 앞으로 색소는 제외하고 천연 과즙을 첨가해 만들겠다는 것 이에 따라 붉은색을 내는 코치닐 노란색을 내는 치자황 등의 색소는 빠지고 제품에 따라 천연 과즙이 첨가된다 실제로 ‘딸기맛 우유’ 제품의 경우 딸기 과즙이 25 함유된 제품으로 리뉴얼되기도 했다 그룹은 우리밀사랑 캠페인인 ‘우리밀愛 캠페인’을 진행하고 있다 계열사인 밀다원을 통해 우리밀의 안정적인 원료 공급이 가능해진 가 우리밀 사업의 선도 기업 역할을 자처하고 나선 것 는 ‘우리밀 케이크도넛’ ‘우리밀 감자빵’ 등 우리밀 상품군을 파리바게트와 던킨도너츠를 통해 선보이고 있다 빕스는 지난해 6월부터 ‘자연愛발견 캠페인’을 진행하고 있다 ‘우리 먹을거리 안심 먹을거리’란 주제로 국산 농산물을 사용한 친환경 샐러드 바를 운영하는 한편 빕스 샐러드 바에 사용하는 우리 농산물을 주제로 다양한 체험 행사나 이벤트를 기획하여 고객들의 참여를 유도하고 있다아웃백스테이크하우스도 ‘재료부터 다릅니다’ 캠페인에 나섰다 이 캠페인을 통해 매달 회사가 사용하는 식재료를 하나씩 선정해 산지와 품질인증 과정을 밝힌다 6월과 7월에는 과일 재료 정보를 공개했다 도 치킨 튀김 오일에 대한 고객들의 불안감을 덜어주기 위해 올해 초부터 ‘ 고객안심 오일 캠페인’을 진행하고 있다 고객들은 전 가맹점에 비치된 산가 측정 페이퍼로 튀김 오일의 산가를 직접 측정해볼 수 있다 국민일보 쿠키뉴스 조규봉 기자 ⓒ 국민일보 무단전재 및 수집 재배포금지
54,국민일보,[사회공헌기업(20)] 바른 먹을거리로 어린이 식생활 도와…‘풀무원’,쿠키 건강 1981년 작은 유기농 채소가게로 시작한 풀무원은 ‘내 가족이 안심하고 먹을 수 있는 식품을 만든다’는 사명과 의지를 가지고 부단히 노력해 한국에서 가장 신뢰받는 식품기업으로 성장했다풀무원은 창업 초기부터 지켜오고 있는 ‘자연’ ‘신선’ ‘안전’의 원칙을 바탕으로 법률이 정한 기준보다 더욱 엄격하게 제조 생산기준을 정해 이를 준수하고 있으며 냉장 유통관리를 통해 제품을 보다 안전하고 신선하게 고객에게 전달하고 있다 풀무원은 식품의 가치기준을 새롭게 제시하며 바른 먹을거리 문화를 선도해가고 있는 반면 자라나는 미래세대에게도 바른 먹을거리 문화를 전수하기 위해 국내 기업으로는 처음으로 초등학생들에게 식품표시확인 교육을 실시하는 ‘바른 먹을거리 확인 캠페인’에 나섰다◇“이제 먹거리도 교육입니다”…바른 먹을거리 확인 캠페인 진행풀무원은 어린이들에게 올바른 식생활 습관을 형성해주기 위한 ‘바른 먹을거리 확인 캠페인’을 녹색소비자연대와 함께 대대적으로 전개하고 있다풀무원의 ‘바른 먹을거리 확인 캠페인’은 우리 사회에 올바른 식생활 문화가 정착되려면 우선 안전한 식품 선택에 대한 조기 교육이 필요하다는 판단 아래 먹을거리를 스스로 선택하기 시작하는 초등학교 어린이들을 대상으로 식품표시 첨가물 영양성분 및 식품이력제를 주제로 한 기초교육을 실시하고 있다 최근 사회적으로 식품 안전에 대한 인식은 높아지고 있는 반면 대다수 어린이들이 건강한 먹을거리에 대한 인식과 정보가 부족해 학교 앞 불량식품 등 무분별한 식품 선택으로 자극적인 입맛에 길들여지고 있다는 문제의식에 따른 것이다현재 서울시내 25개 초등학교에서 서울시 녹색소비자연대와 함께 교육을 실시하고 있으며 수도권 및 대전 대구 부산 광주 울산 등 전국 5대 광역시를 대상으로 개인 및 단체 교육을 실시하고 있다이효율 풀무원식품㈜ 사장은 “이제는 안전한 식품을 제조하는 것뿐 아니라 올바른 먹거리에 대한 소비자 인식을 높여나가는 것 역시 식품기업으로서 당연히 맡아야 할 사회적 공익적 책임이다”며 “이 캠페인을 통해 어린이들이 바른 먹을거리에 대한 개념을 정립하고 식품표시확인을 습관화할 수 있도록 도와줌으로써 우리 사회의 올바른 식생활 문화 확립의 기초를 마련해 나갈 것”이라고 밝혔다◇굿바이 아토피 캠페인 진행풀무원계열사인 친환경식품전문기업 올가홀푸드는 어린이들에게 친환경 생활습관을 형성해 주기 위한 ‘굿바이 아토피 캠페인’을 여성환경연대와 함께 진행하고 있다우선 지난 21일 서울 강동초등학교와의 협약에 따라 강동초등학교 어린이들과 학부모들에게 건강을 지키는 식생활의 중요성을 알리고 생활 전반에 걸쳐 친환경 생활습관을 형성하여 아토피를 사전에 예방 할 수 있도록 돕고 있다 특히 학교 내 로하스 텃밭을 만들어 어린이들에게 건강한 먹을거리와 텃밭 체험의 기회를 제공하고 환경의 소중함을 직접 경험할 수 있도록 하고 있다올가홀푸드는 아토피 사업을 위한 기금적립을 위하여 올가 제품 패키지에 ‘굿바이 아토피 캠페인’ 로고를 부착하고 제품 매출액의 01를 캠페인을 전개하는데 사용하고 있다 국민일보 쿠키뉴스 조규봉 기자 ⓒ 국민일보 무단전재 및 수집 재배포금지
55,국민일보,“우리아이에게 건강한 먹거리를 주세요~”,‘2010 아이사랑기업 大賞’ 시상식… 대상에 ‘이마트’ 선정쿠키 건강 아이에게 건강한 먹거리를 제공하는 기업에게 수상하는 ‘2010 아이사랑기업대상’ 시상식이 29일 조선호텔 코스모스홀에서 열렸다 이날 시상식에는 안종운 키즈푸드페스티벌 조직위원장을 비롯해 수상기업과 수상기업을 선정한 주부심사위원대표 농림수산식품부 농수산물유통공사 농협중앙회 관계자 50여명이 참석했다 대상은 이마트가 수상했다 ‘2010 아이사랑기업대상’은 ‘2010 키즈푸드페스티벌’ 홈페이지 투표와 현장심사를 통해 엄마 심사단이 직접 믿을 만한 국내 식품브랜드를 뽑았다는 점에서 의미가 크다 심사 방법은 1차로 키즈푸드페스티벌 홈페이지를 통해 총 2만721명이 온라인투표에 참여했으며 2차는 페스티벌 행사장에서 주부심사위원단 100명이 현장 심사를 3차는 각계 전문가 10명이 각각 심사를 합산한 결과다 ‘2010 아이사랑기업대상’의 대상은 이마트가 선정됐으며 가공식품부문 최우수상은 대상주청정원 ‘오푸드’ 우수상은 풀무원식품 ‘우리아이’ 장려상은 ‘ 한삼인’이 각각 수상했다 자연식품 부문에서는 최우수상에 평창영월정선축협 ‘대관령 한우’가 우수상은 제주특별자치도의 흑돼지통합브랜드 ‘흑다돈’이 선정됐다 이번에 선정된 기업은 제품에 ‘2010 아이사랑기업대상’ 로고를 사용할 수 있게 된다한편 이번 시상식에서는 ‘2010 키즈푸드페스티벌’에 참여한 기업과 기관 소비자가 한자리에 모여 어린이 식품에 대한 발전 방향을 모색하는 ‘ 희망주주’가 되는 자리도 함께 마련됐다 제1대 ‘ 주주’는 어린이와 청소년을 위해 바른 먹을거리를 생산하고 유통할 수 있는 건강한 움직임에 함께 참여하고 앞장서게 된다 국민일보 쿠키뉴스 박주호 기자 0212 ⓒ 국민일보 무단전재 및 수집 재배포금지
56,국민일보,"풀무원 아미오, 반려견 프리미엄 사료 ‘아미오 컴플리트’ 3종 출시",풀무원건강생활 반려동물 건강 먹거리 브랜드 아미오는 프리미엄 주식 ‘아미오 컴플리트’ 3종을 출시했다고 17일 밝혔다 ‘아미오 컴플리트’는 옥수수 밀가루 쌀 등의 곡물 대신 병아리콩 렌틸콩 완두콩 등 혈당지수의 상승을 낮춰주는 원료를 사용했다 알레르기 위험 원료를 배제한 그레인 프리 제품이다 천연 원료와 신선한 생고기를 사용하여 오리지널 연어 오리 등 총 3종으로 출시됐다 오리지널 제품에는 생 닭고기를 사용했다 ‘아미오 컴플리트’ 3종에는 뼈 바른 생고기를 바로 넣어 제조하는 특수 공법을 적용한 것이 특징이다 반려견의 건강한 성장을 돕는 천연 유래 기능성 원료도 사용됐다 김치에서 추출해 위산에 강해 장까지 살아서 도달하는 풀무원 식물성유산균 ‘08’이 함유됐다 반려견의 장 건강에 도움을 준다 또한 유산균의 증식을 돕는 프리바이오틱스인 ‘치커리 이눌린’을 함유해 유산균의 생존력을 더욱 높였다 이외에도 반려견의 피부 피모 건강을 위해 오메가3 오메가6 필수지방산이 풍부하게 함유된 햄프씨드 스트레스 완화에 도움을 주는 유산균 발효 추출물 관절 건강을 돕는 글루코사민과 콘드로이친도 포함됐다 반려견의 건강을 위해 방부제 항생제 등 특정 성분을 제외한 것도 특징이다 신선함을 유지시켜주는 소포장으로 구성됐다 산소에 의한 산패 및 이물질 혼입 방지를 위해 개봉한 제품을 다 먹을 때까지 신선함을 유지할 수 있도록 지퍼락이 부착된 소포장300으로 출시됐다 알갱이는 반려견이 씹지 않고 삼키는 것을 방지하기 위해 납작하게 만들어 씹는 재미도 느낄 수 있고 건강한 치아에도 도움을 줄 수 있도록 설계됐다 가격은 12300·4개입에 오리지널은 1만6000원 연어·오리는 1만7000원이며 생후 6개월 이후라면 급여가 가능하다 6300·20개입 대용량으로도 구매할 수 있다 가격은 오리지널 5만8000원 연어·오리 5만9000원이다 ‘아미오 컴플리트’ 3종은 전국 펫샵 및 아미오 공식 쇼핑몰에서 구매가 가능하다 한편 풀무원 아미오는 지난 13일 성남 시민프로축구단인 성남 동물권단체 와 함께 반려동물 문화 정착을 위한 상호 협력 협약을 체결하고 ‘사랑하는 반려견과 봄나들이’를 테마로 반려견 페스티벌을 진행했다 이날 아미오는 당일 방문한 고객들에게 신제품 ‘아미오 컴플리트’를 비롯해 아미오의 제품을 경품으로 증정하는 한편 반려견을 위한 건강검진 부스 반려동물 놀이터 사진 촬영 포토존을 운영하는 등 다양한 즐길 거리를 제공했다 김유나 기자 ⓒ 국민일보 무단전재 및 수집 재배포금지
57,내일신문,"풀무원, 성인 3200명 '바른먹거리' 교육 ",풀무원이 어른 바른먹거리 교육에 나섰다풀무원은 학부모 보육교사 영양사 영양교사 대학생 등 3200명을 대상으로 155회에 걸쳐 성인 바른먹거리 교육을 무료로 실시한다고 18일 밝혔다 성인 바른먹거리 교육 시간에 강사가 교육생들에게 당 흡수를 줄이는 식생활 지엘 다이어트를 소개하고 있다 사진 풀무원 제공성인 바른먹거리 교육은 풀무원이 2015년부터 어린이 식습관 형성에 큰 영향을 미치는 성인들을 대상으로 진행하고 있는 교육이다 어른들이 먼저 불균형한 식습관을 개선해 어린이들에게 올바른 식습관을 심어줄 수 있도록 교육하고 있다 2018년부터 식품영양학과 교육학 등 관련 전공 대학생으로 대상을 확대했다 풀무원 비영리 공익법인인 풀무원재단이 사대한지역사회영양학회에 교육을 위탁하고 있다 전국 육아종합지원센터 어린이급식관리지원센터 대학교 등으로 식생활 교육 전문 강사가 직접 찾아가 진행한다교육 참가 신청은 대한지역사회영양학회 홈페이지와 전화027490747로 접수할 수 있다성인 바른먹거리 교육 프로그램은 지엘 혈당부하 다이어트 교육을 중심으로 구성돼 있다 지엘 다이어트는 당 흡수를 줄이는 식생활이다 풀무원 211식사법을 통해 일상에서 쉽게 실천할 수 있다는 게 풀무원 주장이다 211식사법은 신선한 채소와 포화지방이 적은 단백질 통곡물을 211의 비율로 섭취해 대사증후군 예방을 돕는 영양균형 식사법이다 60분간 진행되는 성인 바른먹거리 교육은 이론25분 실천25분 체험10분으로 구성됐다한편 성인 바른먹거리 교육은 참가자들의 교육 만족도가 높은 편이다 지난해 성인 3000명에게 건강한 식생활의 가치를 알린 후 실시한 프로그램 평가에서 만족도는 5점 만점에 43점을 기록했다
58,내일신문,풀무원 '동물복지 식습관' 첫 어린이 교육 ,풀무원이 어린이들에게 동물복지를 고려한 먹거리 식습관 교육에 나선다풀무원은 바른먹거리 교육에 식품표시 미각 영양균형 등 3대 교육 외에 동물복지를 고려한 육식 식습관 개선 교육을 실시하기로 했다고 28일 밝혔다 서울 응암초등학교를 시작으로 서울 경기 인천지역 초등학교 고학년56학년 학생 800여 명을 대상으로 30회에 걸쳐 동물복지 바른먹거리 교육을 한다 어린이 바른먹거리 교육에 참여한 초등학생들이 영양균형 교육시간에 5대 영양소에 대해 배우고 있다 사진 풀무원 제공최근 동물복지가 사회적 이슈로 떠오르면서 다양한 관련 교육이 있지만 동물복지를 육식 식습관 개선 차원에서 어린이들에게 교육하는 것은 처음이다 풀무원은 올해말 시범교육 성과를 평가한 후 내년부터 동물복지 바른먹거리 교육을 본격적으로 확대 실시할 계획이다이번 교육은 육식소비 증가와 육식 식습관 문제점 학습을 통해 올바른 육식 식습관이 개인 건강뿐 아니라 지구환경에도 도움이 된다는 내용을 이해시키는 데 주안점을 두고 있다 어린이 눈높이에 맞춘 학습과 체험을 통해 어린이들이 동물복지에 대한 개념을 이해하고 육식을 줄이는 식습관을 실천할 수 있도록 유도하고 있다동물복지 식습관 교육은 2교시90분로 짜여있다 1교시40분에 동물복지 이론을 탐구하고 10분 휴식 후 2교시40분에 체험활동을 한다
59,내일신문,"[한국능률협회 가장 존경받는 기업 선정] 풀무원, 30대 올스타에 13년 연속 선정 ",풀무원이 13년 연속으로 한국에서 가장 존경받는 기업으로 선정됐다 풀무원대표 이효율은 한국능률협회컨설팅이 조사하고 발표한 2019 한국에서 가장 존경받는 기업 30대 올스타 에 13년 연속 선정됐다고 19일 밝혔다이번 수상 배경에는 풀무원이 대표적 사회공헌 활동인 바른먹거리 캠페인을 범국민적으로 확대했고 다양한 친환경 경영활동의 결과로 분석된다 풀무원은 어린이들의 올바른 식습관 형성을 위해 2010년부터 바른먹거리 캠페인 교육을 전개하고 있다 2020년까지 10만명 교육을 목표로 진행하고 있다
